IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9875256,40.7622188,2026-01-28 00:12:50.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,N41(x)+N25(x),,371,-80.300000,14.950000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9875256,40.7622188,2026-01-28 00:12:51.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,N41(100)+N25(x),,371,-79.830000,14.170000,,,,,,,,,,,,,,,,,
3,1,,,-73.9875256,40.7622188,2026-01-28 00:12:52.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9875256,40.7622188,2026-01-28 00:12:53.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9875256,40.7622188,2026-01-28 00:12:54.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9875256,40.7622188,2026-01-28 00:12:55.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9875386,40.7622142,2026-01-28 00:12:56.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9875386,40.7622142,2026-01-28 00:12:57.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9875386,40.7622142,2026-01-28 00:12:58.000,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9875386,40.7622142,2026-01-28 00:12:58.881,_20260127_191246_CH01_REF_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
