IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-22 21:21:26.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263149,40.7602855,2026-01-22 21:21:27.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(x)+N41(x),,429,-76.860000,15.140000,,,,,,,,,,,,,,,,,
3,1,,,-73.9263149,40.7602855,2026-01-22 21:21:28.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.400000,13.780000,,,,,,,,,,,,,,,,,
4,1,,,-73.9263149,40.7602855,2026-01-22 21:21:29.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-77.950000,12.760000,,,,,,,,,,,,,0.024,,,,
5,1,,,-73.9263149,40.7602855,2026-01-22 21:21:30.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-77.860000,12.320000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9263149,40.7602855,2026-01-22 21:21:31.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.270000,12.470000,,,,,,,,,,,,,0.152,,,,
7,1,,,-73.9263149,40.7602855,2026-01-22 21:21:32.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.100000,12.500000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9263149,40.7602855,2026-01-22 21:21:33.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-79.000000,12.780000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9263149,40.7602855,2026-01-22 21:21:34.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.140000,13.050000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9263149,40.7602855,2026-01-22 21:21:35.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.130000,13.620000,,,,,,,,,,,,,0.008,,,,
11,1,,,-73.9263149,40.7602855,2026-01-22 21:21:36.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-78.390000,13.390000,,,,,,,,,,,,,0.008,,,,
12,1,,,-73.9263149,40.7602855,2026-01-22 21:21:37.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-78.450000,11.360000,,,,,,,,,,,,,,,,,
13,1,,,-73.9263149,40.7602855,2026-01-22 21:21:38.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-80.000000,10.880000,,,,,,,,,,,,,0.000,,,,
14,1,,,-73.9263149,40.7602855,2026-01-22 21:21:39.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-79.910000,11.000000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9263149,40.7602855,2026-01-22 21:21:40.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-76.330000,15.330000,,,,,,,,,,,,,0.000,,,,
16,1,,,-73.9263149,40.7602855,2026-01-22 21:21:41.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(x)+N41(x),NR SA,429,-75.750000,15.000000,,,,,,,,,,,,,,,,,
17,1,,,-73.9263149,40.7602855,2026-01-22 21:21:42.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(x),NR SA,429,-76.000000,17.000000,,,,,,,,,,,,,,,,,
18,1,,,-73.9263149,40.7602855,2026-01-22 21:21:43.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9263149,40.7602855,2026-01-22 21:21:44.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9263149,40.7602855,2026-01-22 21:21:45.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9263149,40.7602855,2026-01-22 21:21:46.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
22,1,,,-73.9263149,40.7602855,2026-01-22 21:21:47.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
23,1,,,-73.9263149,40.7602855,2026-01-22 21:21:48.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
24,1,,,-73.9263149,40.7602855,2026-01-22 21:21:49.000,_20260122_162123_CH02_DUT_TMO_Playstore 100MB_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),NR SA,429,-77.180000,15.450000,,,,,,,,,,,,,,,,,
