IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9261633,40.7603100,2026-01-22 21:35:12.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9262667,40.7602350,2026-01-22 21:35:14.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9262667,40.7602350,2026-01-22 21:35:15.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9262667,40.7602350,2026-01-22 21:35:16.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9262667,40.7602350,2026-01-22 21:35:18.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9262667,40.7602350,2026-01-22 21:35:19.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9262667,40.7602350,2026-01-22 21:35:20.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9262667,40.7602350,2026-01-22 21:35:21.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100),,429,-79.000000,18.000000,,,,,,,,,,,,,,,,,
9,1,,,-73.9262667,40.7602350,2026-01-22 21:35:22.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9262667,40.7602350,2026-01-22 21:35:23.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9262667,40.7602350,2026-01-22 21:35:24.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9263617,40.7602083,2026-01-22 21:35:25.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9263683,40.7602033,2026-01-22 21:35:26.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9263683,40.7602033,2026-01-22 21:35:27.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9263683,40.7602033,2026-01-22 21:35:28.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9263683,40.7602033,2026-01-22 21:35:29.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9263683,40.7602033,2026-01-22 21:35:30.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9263683,40.7602033,2026-01-22 21:35:31.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9263683,40.7602033,2026-01-22 21:35:32.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9263683,40.7602033,2026-01-22 21:35:33.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9263683,40.7602033,2026-01-22 21:35:34.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100),NR SA,429,-77.000000,21.000000,,,,,,,,,,,,,,,,,
22,1,,,-73.9263683,40.7602033,2026-01-22 21:35:36.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
23,1,,,-73.9263683,40.7602033,2026-01-22 21:35:37.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(x),NR SA,429,-79.530000,17.670000,,,,,,,,,,,,,,,,,
24,1,,,-73.9263683,40.7602033,2026-01-22 21:35:38.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-79.320000,18.460000,,,,,,,,,,,,,0.384,,,,
25,1,,,-73.9263683,40.7602033,2026-01-22 21:35:39.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-78.660000,18.120000,,,,,,,,,,,,,0.712,,,,
26,1,,,-73.9263683,40.7602033,2026-01-22 21:35:40.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-80.320000,16.450000,,,,,,,,,,,,,0.648,,,,
27,1,,,-73.9263683,40.7602033,2026-01-22 21:35:41.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-81.420000,16.270000,,,,,,,,,,,,,0.464,,,,
28,1,,,-73.9263683,40.7602033,2026-01-22 21:35:42.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-78.980000,19.380000,,,,,,,,,,,,,0.440,,,,
29,1,,,-73.9263683,40.7602033,2026-01-22 21:35:43.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-78.790000,19.380000,,,,,,,,,,,,,0.536,,,,
30,1,,,-73.9263683,40.7602033,2026-01-22 21:35:44.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-78.540000,19.320000,,,,,,,,,,,,,0.872,,,,
31,1,,,-73.9263683,40.7602033,2026-01-22 21:35:45.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-78.320000,19.620000,,,,,,,,,,,,,0.888,,,,
32,1,,,-73.9263683,40.7602033,2026-01-22 21:35:46.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-78.400000,19.540000,,,,,,,,,,,,,0.664,,,,
33,1,,,-73.9263683,40.7602033,2026-01-22 21:35:47.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-77.920000,20.540000,,,,,,,,,,,,,0.584,,,,
34,1,,,-73.9263683,40.7602033,2026-01-22 21:35:48.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-77.820000,20.920000,,,,,,,,,,,,,0.152,,,,
35,1,,,-73.9263683,40.7602033,2026-01-22 21:35:49.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-79.820000,18.560000,,,,,,,,,,,,,0.000,,,,
36,1,,,-73.9263683,40.7602033,2026-01-22 21:35:50.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-80.240000,18.200000,,,,,,,,,,,,,0.000,,,,
37,1,,,-73.9263683,40.7602033,2026-01-22 21:35:51.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-80.030000,19.180000,,,,,,,,,,,,,0.000,,,,
38,1,,,-73.9263683,40.7602033,2026-01-22 21:35:52.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-80.080000,17.530000,,,,,,,,,,,,,0.000,,,,
39,1,,,-73.9263683,40.7602033,2026-01-22 21:35:53.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-79.240000,18.020000,,,,,,,,,,,,,0.000,,,,
40,1,,,-73.9263683,40.7602033,2026-01-22 21:35:54.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-80.100000,18.340000,,,,,,,,,,,,,0.000,,,,
41,1,,,-73.9263683,40.7602033,2026-01-22 21:35:55.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-79.840000,18.260000,,,,,,,,,,,,,0.000,,,,
42,1,,,-73.9263683,40.7602033,2026-01-22 21:35:56.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-79.780000,17.650000,,,,,,,,,,,,,0.000,,,,
43,1,,,-73.9263683,40.7602033,2026-01-22 21:35:57.000,_20260122_163503_CH01_REF_TMO_Playstore 60MB_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),NR SA,429,-79.600000,18.580000,,,,,,,,,,,,,0.032,,,,
