IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-23 19:38:50.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9875472,40.7621895,2026-01-23 19:38:51.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,N41(x),,371,-73.000000,19.000000,,,,,,,,,,,,,,,,,
3,1,,,-73.9875472,40.7621895,2026-01-23 19:38:52.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9875472,40.7621895,2026-01-23 19:38:53.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9875472,40.7621895,2026-01-23 19:38:54.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9875472,40.7621895,2026-01-23 19:38:55.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9875472,40.7621895,2026-01-23 19:38:56.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9875472,40.7621895,2026-01-23 19:38:57.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9875472,40.7621895,2026-01-23 19:38:58.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9875472,40.7621895,2026-01-23 19:38:59.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9875472,40.7621895,2026-01-23 19:39:00.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9875472,40.7621895,2026-01-23 19:39:01.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9875472,40.7621895,2026-01-23 19:39:02.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9875472,40.7621895,2026-01-23 19:39:03.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9875472,40.7621895,2026-01-23 19:39:04.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,N41(x),NR SA,371,-74.000000,17.000000,,,,,,,,,,,,,,,,,
16,1,,,-73.9875472,40.7621895,2026-01-23 19:39:05.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9875472,40.7621895,2026-01-23 19:39:06.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9875472,40.7621895,2026-01-23 19:39:07.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
19,1,,,-73.9875472,40.7621895,2026-01-23 19:39:08.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
20,1,,,-73.9875472,40.7621895,2026-01-23 19:39:09.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9875472,40.7621895,2026-01-23 19:39:10.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
22,1,,,-73.9875472,40.7621895,2026-01-23 19:39:11.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
23,1,,,-73.9875472,40.7621895,2026-01-23 19:39:12.000,_20260123_143839_CH02_DUT_TMO_Play Store 60 MB_NJ DUT REF_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
