IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 02:48:20
End Time : 2026-01-27 02:52:24
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,,,2026-01-27 02:48:20.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1754867,47.5705317,2026-01-27 02:48:21.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1754867,47.5705317,2026-01-27 02:48:22.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1754867,47.5705317,2026-01-27 02:48:23.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1754867,47.5705317,2026-01-27 02:48:24.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1754867,47.5705317,2026-01-27 02:48:25.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1754867,47.5705317,2026-01-27 02:48:26.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1754300,47.5704850,2026-01-27 02:48:27.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1754350,47.5704917,2026-01-27 02:48:28.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1754383,47.5704983,2026-01-27 02:48:29.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1754417,47.5705017,2026-01-27 02:48:30.000,_20260126_184807_CH02_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
