IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,,,2026-01-22 17:41:00.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100),,429,-73.000000,21.000000,,,,,,,,,,,,,,,,,
2,1,,,-73.9263117,40.7602833,2026-01-22 17:41:01.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,21.920000,,,,,,,,,,,,,0.040,,,,
3,1,,,-73.9263117,40.7602833,2026-01-22 17:41:02.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-72.620000,21.560000,,,,,,,,,,,,,,,,,
4,1,,,-73.9263117,40.7602833,2026-01-22 17:41:03.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-72.000000,22.670000,,,,,,,,,,,,,0.024,,,,
5,1,,,-73.9263117,40.7602833,2026-01-22 17:41:04.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-72.400000,20.800000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9263117,40.7602833,2026-01-22 17:41:05.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,20.500000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9263117,40.7602833,2026-01-22 17:41:06.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,19.140000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9263117,40.7602833,2026-01-22 17:41:07.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,20.000000,,,,,,,,,,,,,,,,,
9,1,,,-73.9263117,40.7602833,2026-01-22 17:41:08.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-71.710000,21.430000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9263117,40.7602833,2026-01-22 17:41:09.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-71.330000,21.170000,,,,,,,,,,,,,0.000,,,,
11,1,,,-73.9263117,40.7602833,2026-01-22 17:41:10.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-72.000000,20.670000,,,,,,,,,,,,,0.000,,,,
12,1,,,-73.9263117,40.7602833,2026-01-22 17:41:11.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-72.200000,20.800000,,,,,,,,,,,,,0.000,,,,
13,1,,,-73.9263117,40.7602833,2026-01-22 17:41:12.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,20.000000,,,,,,,,,,,,,0.000,,,,
14,1,,,-73.9263117,40.7602833,2026-01-22 17:41:13.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,20.750000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9263117,40.7602833,2026-01-22 17:41:14.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N41(40),,429,-73.000000,19.290000,,,,,,,,,,,,,,,,,
16,1,,,-73.9263117,40.7602833,2026-01-22 17:41:15.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(x),,,,,,,,,,,,,,,,,0.000,,,,
17,1,,,-73.9263117,40.7602833,2026-01-22 17:41:16.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(x),,429,-72.000000,20.000000,,,,,,,,,,,,,,,,,
18,1,,,-73.9263117,40.7602833,2026-01-22 17:41:17.000,_20260122_124053_CH02_DUT_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
