IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-22 22:31:16
End Time : 2026-01-22 22:37:45
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9019233,47.5467300,2026-01-22 22:31:16.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9019233,47.5467300,2026-01-22 22:31:17.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9019233,47.5467300,2026-01-22 22:31:18.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9019233,47.5467300,2026-01-22 22:31:19.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9019233,47.5467300,2026-01-22 22:31:20.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9019233,47.5467300,2026-01-22 22:31:21.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9019233,47.5467300,2026-01-22 22:31:22.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9019233,47.5467300,2026-01-22 22:31:23.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9019233,47.5467300,2026-01-22 22:31:24.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9019233,47.5467300,2026-01-22 22:31:25.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9019233,47.5467300,2026-01-22 22:31:26.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
12,1,,,-121.9018917,47.5468267,2026-01-22 22:31:27.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
13,1,,,-121.9018817,47.5468250,2026-01-22 22:31:27.829,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,Download Start Request,,,,,,
14,1,,,-121.9018817,47.5468250,2026-01-22 22:31:28.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
15,1,,,-121.9018683,47.5468233,2026-01-22 22:31:29.000,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
16,1,,,-121.9018633,47.5468167,2026-01-22 22:31:29.766,_20260122_143036_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,Download File Size Retrieved,,,,,,
