IMEI : 
IMSI : 
Phone Number : 14254726812
Start Time : 2026-01-25 23:56:54
End Time : 2026-01-25 23:59:57
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1769100,47.5705833,2026-01-25 23:56:54.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1769133,47.5705900,2026-01-25 23:56:55.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1769167,47.5705917,2026-01-25 23:56:56.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1769217,47.5705933,2026-01-25 23:56:57.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1769250,47.5705933,2026-01-25 23:56:58.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1769233,47.5705867,2026-01-25 23:56:59.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1769250,47.5705833,2026-01-25 23:57:00.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1769233,47.5705833,2026-01-25 23:57:01.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1769233,47.5705850,2026-01-25 23:57:02.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1769267,47.5705917,2026-01-25 23:57:03.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1769267,47.5705917,2026-01-25 23:57:03.089,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Start Request,,,,,,
12,1,,,-122.1769300,47.5705933,2026-01-25 23:57:03.557,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Started,,,,,,
13,1,,,-122.1769300,47.5705933,2026-01-25 23:57:04.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1769400,47.5705967,2026-01-25 23:57:05.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1769450,47.5705983,2026-01-25 23:57:06.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,66.060,,,,
16,1,,,-122.1769483,47.5706000,2026-01-25 23:57:06.698,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Ended,,,,,,
17,1,,,-122.1769483,47.5706000,2026-01-25 23:57:07.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,23.069,,,,
18,1,,,-122.1769500,47.5705967,2026-01-25 23:57:08.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,85.931,,,,
19,1,,,-122.1769017,47.5706067,2026-01-25 23:57:09.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1768983,47.5706067,2026-01-25 23:57:10.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1768933,47.5706033,2026-01-25 23:57:11.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1768867,47.5705950,2026-01-25 23:57:12.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1768867,47.5705950,2026-01-25 23:57:12.150,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Start Request,,,,,,
24,1,,,-122.1768767,47.5705833,2026-01-25 23:57:12.400,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Started,,,,,,
25,1,,,-122.1768767,47.5705833,2026-01-25 23:57:13.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1768650,47.5705750,2026-01-25 23:57:14.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1768517,47.5705667,2026-01-25 23:57:15.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,68.157,,,,
28,1,,,-122.1768517,47.5705667,2026-01-25 23:57:15.041,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Ended,,,,,,
29,1,,,-122.1768383,47.5705617,2026-01-25 23:57:16.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,11.219,,,,
30,1,,,-122.1768217,47.5705567,2026-01-25 23:57:17.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
31,1,,,-122.1768117,47.5705483,2026-01-25 23:57:18.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
32,1,,,-122.1768150,47.5705433,2026-01-25 23:57:19.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
33,1,,,-122.1768233,47.5705433,2026-01-25 23:57:20.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
34,1,,,-122.1768233,47.5705433,2026-01-25 23:57:20.166,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Start Request,,,,,,
35,1,,,-122.1768317,47.5705417,2026-01-25 23:57:20.448,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Started,,,,,,
36,1,,,-122.1768317,47.5705417,2026-01-25 23:57:21.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
37,1,,,-122.1768367,47.5705467,2026-01-25 23:57:22.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
38,1,,,-122.1768283,47.5705333,2026-01-25 23:57:23.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,66.060,,,,
39,1,,,-122.1768283,47.5705333,2026-01-25 23:57:23.089,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Ended,,,,,,
40,1,,,-122.1768183,47.5705250,2026-01-25 23:57:24.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,14.654,,,,
41,1,,,-122.1768033,47.5705233,2026-01-25 23:57:25.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
42,1,,,-122.1767983,47.5705167,2026-01-25 23:57:26.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
43,1,,,-122.1767983,47.5705083,2026-01-25 23:57:27.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
44,1,,,-122.1768433,47.5705217,2026-01-25 23:57:28.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
45,1,,,-122.1768433,47.5705217,2026-01-25 23:57:28.214,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Start Request,,,,,,
46,1,,,-122.1768500,47.5705317,2026-01-25 23:57:28.525,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,Upload Started,,,,,,
47,1,,,-122.1768500,47.5705317,2026-01-25 23:57:29.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
48,1,,,-122.1768533,47.5705400,2026-01-25 23:57:30.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,,,,,
49,1,,,-122.1768467,47.5705483,2026-01-25 23:57:31.000,_20260125_155647_CH01_TMO_5GAUTO_SS HTTP UL 15M_L2_SEA.dml,,,,,,,,,66.060,,,,
