IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9598800,40.8175017,2026-01-24 20:32:25.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9598800,40.8175017,2026-01-24 20:32:26.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9598800,40.8175017,2026-01-24 20:32:27.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9598800,40.8175017,2026-01-24 20:32:28.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9598800,40.8175017,2026-01-24 20:32:29.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100),,378,-93.000000,3.000000,,,,,,,,,,,,,,,,,
6,1,,,-73.9598800,40.8175017,2026-01-24 20:32:31.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9598800,40.8175017,2026-01-24 20:32:32.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100),,378,-94.000000,4.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9598800,40.8175017,2026-01-24 20:32:33.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9598800,40.8175017,2026-01-24 20:32:34.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9598800,40.8175017,2026-01-24 20:32:34.541,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
11,1,,,-73.9598800,40.8175017,2026-01-24 20:32:34.541,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
12,1,,,-73.9598800,40.8175017,2026-01-24 20:32:35.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9598800,40.8175017,2026-01-24 20:32:36.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100),,378,-96.000000,2.000000,,,,,,,,,,,,,,,,,
14,1,,,-73.9598800,40.8175017,2026-01-24 20:32:37.556,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
15,1,,,-73.9598800,40.8175017,2026-01-24 20:32:37.556,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
16,1,,,-73.9598800,40.8175017,2026-01-24 20:32:37.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100),NR SA,378,-96.000000,2.000000,,,,,,,,,,,,,,,,,
17,1,,,-73.9598800,40.8175017,2026-01-24 20:32:37.947,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,26
18,1,,,-73.9598800,40.8175017,2026-01-24 20:32:38.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-95.000000,4.000000,,,,,,,,,,,,,,,,,
19,1,,,-73.9598800,40.8175017,2026-01-24 20:32:38.166,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,41
20,1,,,-73.9598800,40.8175017,2026-01-24 20:32:38.370,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,41
21,1,,,-73.9598800,40.8175017,2026-01-24 20:32:38.573,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,39
22,1,,,-73.9598800,40.8175017,2026-01-24 20:32:38.775,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,40
23,1,,,-73.9598800,40.8175017,2026-01-24 20:32:38.963,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,38
24,1,,,-73.9598800,40.8175017,2026-01-24 20:32:39.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-95.100000,2.860000,,,,,,,,,,,,,0.016,,,,
25,1,,,-73.9598800,40.8175017,2026-01-24 20:32:39.166,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,36
26,1,,,-73.9598800,40.8175017,2026-01-24 20:32:39.385,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,45
27,1,,,-73.9598800,40.8175017,2026-01-24 20:32:39.572,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,35
28,1,,,-73.9598800,40.8175017,2026-01-24 20:32:39.760,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,33
29,1,,,-73.9598800,40.8175017,2026-01-24 20:32:39.963,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,33
30,1,,,-73.9598800,40.8175017,2026-01-24 20:32:40.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-95.040000,3.100000,,,,,,,,,,,,,0.000,,,,
31,1,,,-73.9598800,40.8175017,2026-01-24 20:32:40.166,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,32
32,1,,,-73.9598800,40.8175017,2026-01-24 20:32:40.370,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,32
33,1,,,-73.9598800,40.8175017,2026-01-24 20:32:40.556,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,28
34,1,,,-73.9598800,40.8175017,2026-01-24 20:32:40.760,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,28
35,1,,,-73.9598800,40.8175017,2026-01-24 20:32:40.995,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,46
36,1,,,-73.9598800,40.8175017,2026-01-24 20:32:41.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-95.000000,3.280000,,,,,,,,,,,,,0.000,,,,
37,1,,,-73.9598800,40.8175017,2026-01-24 20:32:41.181,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,39
38,1,,,-73.9598800,40.8175017,2026-01-24 20:32:41.385,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,37
39,1,,,-73.9598800,40.8175017,2026-01-24 20:32:41.588,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,37
40,1,,,-73.9598800,40.8175017,2026-01-24 20:32:41.806,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,46
41,1,,,-73.9598800,40.8175017,2026-01-24 20:32:41.995,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,38
42,1,,,-73.9598800,40.8175017,2026-01-24 20:32:42.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-94.860000,3.240000,,,,,,,,,,,,,,,,,
43,1,,,-73.9598800,40.8175017,2026-01-24 20:32:42.181,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,34
44,1,,,-73.9598800,40.8175017,2026-01-24 20:32:42.385,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,35
45,1,,,-73.9598800,40.8175017,2026-01-24 20:32:42.587,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,33
46,1,,,-73.9598800,40.8175017,2026-01-24 20:32:42.791,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,39
47,1,,,-73.9598800,40.8175017,2026-01-24 20:32:43.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-95.000000,2.940000,,,,,,,,,,,,,0.000,,,,
48,1,,,-73.9598800,40.8175017,2026-01-24 20:32:43.604,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
49,1,,,-73.9598800,40.8175017,2026-01-24 20:32:44.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-95.260000,2.460000,,,,,,,,,,,,,0.000,,,,
50,1,,,-73.9598800,40.8175017,2026-01-24 20:32:45.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-95.540000,2.100000,,,,,,,,,,,,,0.000,,,,
51,1,,,-73.9598800,40.8175017,2026-01-24 20:32:46.000,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-95.280000,3.000000,,,,,,,,,,,,,0.000,,,,
52,1,,,-73.9598800,40.8175017,2026-01-24 20:32:46.604,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
53,1,,,-73.9598800,40.8175017,2026-01-24 20:32:46.604,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,0,
54,1,,,-73.9598800,40.8175017,2026-01-24 20:32:46.604,_20260124_153223_CH01_REF_TMO-AUTO_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
