IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9878683,40.7620900,2026-01-27 23:08:11.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100),,371,-78.000000,20.000000,,,,,,,,,,,,,,,,,
2,1,,,-73.9878683,40.7620900,2026-01-27 23:08:12.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9878683,40.7620900,2026-01-27 23:08:13.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9878683,40.7620900,2026-01-27 23:08:14.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9878683,40.7620900,2026-01-27 23:08:15.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9878683,40.7620900,2026-01-27 23:08:16.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9878683,40.7620900,2026-01-27 23:08:17.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9878683,40.7620900,2026-01-27 23:08:18.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9878683,40.7620900,2026-01-27 23:08:19.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9878683,40.7620900,2026-01-27 23:08:20.084,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
11,1,,,-73.9878683,40.7620900,2026-01-27 23:08:20.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9878683,40.7620900,2026-01-27 23:08:20.771,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
13,1,,,-73.9878683,40.7620900,2026-01-27 23:08:21.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(x),NR SA,371,-79.150000,19.190000,,,,,,,,,,,,,,,,,
14,1,,,-73.9878683,40.7620900,2026-01-27 23:08:22.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.760000,19.960000,,,,,,,,,,,,,32.400,,,,
15,1,,,-73.9878683,40.7620900,2026-01-27 23:08:23.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.460000,19.080000,,,,,,,,,,,225.444,,59.808,,,,
16,1,,,-73.9878683,40.7620900,2026-01-27 23:08:24.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.080000,19.780000,,,,,,,,,,,118.371,,58.256,,,,
17,1,,,-73.9878683,40.7620900,2026-01-27 23:08:25.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.000000,18.700000,,,,,,,,,,,44.040,,58.280,,,,
18,1,,,-73.9878683,40.7620900,2026-01-27 23:08:26.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.980000,18.800000,,,,,,,,,,,66.126,,59.984,,,,
19,1,,,-73.9878683,40.7620900,2026-01-27 23:08:27.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.820000,18.240000,,,,,,,,,,,68.157,,58.384,,,,
20,1,,,-73.9879567,40.7621017,2026-01-27 23:08:28.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.770000,17.910000,,,,,,,,,,,22.020,,55.584,,,,
21,1,,,-73.9879433,40.7621033,2026-01-27 23:08:29.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.940000,17.360000,,,,,,,,,,,91.226,,55.728,,,,
22,1,,,-73.9879433,40.7621050,2026-01-27 23:08:30.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.400000,18.060000,,,,,,,,,,,22.020,,55.648,,,,
23,1,,,-73.9879433,40.7621033,2026-01-27 23:08:31.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.260000,18.220000,,,,,,,,,,,0.000,,56.984,,,,
24,1,,,-73.9879433,40.7621033,2026-01-27 23:08:32.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.100000,17.920000,,,,,,,,,,,112.198,,58.832,,,,
25,1,,,-73.9879433,40.7621033,2026-01-27 23:08:33.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.000000,18.200000,,,,,,,,,,,0.000,,58.216,,,,
26,1,,,-73.9879433,40.7621033,2026-01-27 23:08:34.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.000000,17.840000,,,,,,,,,,,90.268,,57.560,,,,
27,1,,,-73.9879433,40.7621033,2026-01-27 23:08:35.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-79.000000,17.940000,,,,,,,,,,,22.020,,57.456,,,,
28,1,,,-73.9879433,40.7621033,2026-01-27 23:08:36.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.520000,19.200000,,,,,,,,,,,46.091,,57.360,,,,
29,1,,,-73.9879200,40.7620950,2026-01-27 23:08:37.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.240000,20.180000,,,,,,,,,,,67.176,,60.432,,,,
30,1,,,-73.9879167,40.7620967,2026-01-27 23:08:38.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.000000,20.700000,,,,,,,,,,,44.040,,58.792,,,,
31,1,,,-73.9879167,40.7620950,2026-01-27 23:08:39.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.000000,20.820000,,,,,,,,,,,23.069,,61.512,,,,
32,1,,,-73.9878950,40.7620933,2026-01-27 23:08:40.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-76.580000,20.920000,,,,,,,,,,,89.129,,60.976,,,,
33,1,,,-73.9878967,40.7620933,2026-01-27 23:08:41.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-76.630000,20.550000,,,,,,,,,,,44.040,,57.872,,,,
34,1,,,-73.9878650,40.7620900,2026-01-27 23:08:42.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.050000,20.110000,,,,,,,,,,,23.069,,57.568,,,,
35,1,,,-73.9878667,40.7620900,2026-01-27 23:08:43.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.000000,20.140000,,,,,,,,,,,91.135,,55.760,,,,
36,1,,,-73.9878683,40.7620900,2026-01-27 23:08:44.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.000000,20.060000,,,,,,,,,,,22.042,,57.456,,,,
37,1,,,-73.9878667,40.7620900,2026-01-27 23:08:45.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.240000,20.220000,,,,,,,,,,,67.109,,55.216,,,,
38,1,,,-73.9878667,40.7620900,2026-01-27 23:08:46.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-77.920000,19.700000,,,,,,,,,,,22.020,,54.776,,,,
39,1,,,-73.9878667,40.7620900,2026-01-27 23:08:47.000,_20260127_180808_CH01_REF_TMO-NSA_HTTP MS UL_NJ NY_L2.dml,,,,N41(100)+N71(15),NR SA,371,-78.200000,19.180000,,,,,,,,,,,44.040,,59.032,,,,
