IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-22 22:03:50
End Time : 2026-01-22 22:16:16
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9019533,47.5467783,2026-01-22 22:03:50.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9019533,47.5467783,2026-01-22 22:03:51.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9019533,47.5467783,2026-01-22 22:03:52.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9019533,47.5467783,2026-01-22 22:03:53.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9019533,47.5467783,2026-01-22 22:03:54.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9019533,47.5467783,2026-01-22 22:03:55.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9019533,47.5467783,2026-01-22 22:03:56.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9019533,47.5467783,2026-01-22 22:03:57.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9019533,47.5467783,2026-01-22 22:03:58.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9019533,47.5467783,2026-01-22 22:03:59.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9019533,47.5467783,2026-01-22 22:04:00.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
12,1,,,-121.9019533,47.5467783,2026-01-22 22:04:01.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
13,1,,,-121.9019533,47.5467783,2026-01-22 22:04:02.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
14,1,,,-121.9019533,47.5467783,2026-01-22 22:04:03.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
15,1,,,-121.9019533,47.5467783,2026-01-22 22:04:04.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
16,1,,,-121.9019533,47.5467783,2026-01-22 22:04:05.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
17,1,,,-121.9019533,47.5467783,2026-01-22 22:04:06.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
18,1,,,-121.9019533,47.5467783,2026-01-22 22:04:07.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
19,1,,,-121.9019533,47.5467783,2026-01-22 22:04:08.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
20,1,,,-121.9019533,47.5467783,2026-01-22 22:04:09.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
21,1,,,-121.9019533,47.5467783,2026-01-22 22:04:10.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
22,1,,,-121.9019533,47.5467783,2026-01-22 22:04:11.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
23,1,,,-121.9019533,47.5467783,2026-01-22 22:04:12.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
24,1,,,-121.9019533,47.5467783,2026-01-22 22:04:13.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
25,1,,,-121.9019533,47.5467783,2026-01-22 22:04:14.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
26,1,,,-121.9019533,47.5467783,2026-01-22 22:04:15.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
27,1,,,-121.9019533,47.5467783,2026-01-22 22:04:16.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
28,1,,,-121.9019533,47.5467783,2026-01-22 22:04:17.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
29,1,,,-121.9019533,47.5467783,2026-01-22 22:04:18.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
30,1,,,-121.9019533,47.5467783,2026-01-22 22:04:19.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
31,1,,,-121.9019533,47.5467783,2026-01-22 22:04:20.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
32,1,,,-121.9019533,47.5467783,2026-01-22 22:04:22.000,_20260122_140339_CH02_TMO_5GAUTO_MS HTTP DL for 30s_L3_REF_SEA.dml,,,,,,,,,,,,,
