IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-22 23:15:34
End Time : 2026-01-22 23:22:39
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9018267,47.5467367,2026-01-22 23:15:34.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9018267,47.5467367,2026-01-22 23:15:36.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9018267,47.5467367,2026-01-22 23:15:38.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9018267,47.5467367,2026-01-22 23:15:39.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9018267,47.5467367,2026-01-22 23:15:41.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9018267,47.5467367,2026-01-22 23:15:42.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9018267,47.5467367,2026-01-22 23:15:43.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9018267,47.5467367,2026-01-22 23:15:44.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9018267,47.5467367,2026-01-22 23:15:45.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9018267,47.5467367,2026-01-22 23:15:46.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9018267,47.5467367,2026-01-22 23:15:47.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
12,1,,,-121.9018267,47.5467367,2026-01-22 23:15:48.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
13,1,,,-121.9018267,47.5467367,2026-01-22 23:15:49.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
14,1,,,-121.9018267,47.5467367,2026-01-22 23:15:50.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
15,1,,,-121.9018267,47.5467367,2026-01-22 23:15:51.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
16,1,,,-121.9018267,47.5467367,2026-01-22 23:15:52.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
17,1,,,-121.9018267,47.5467367,2026-01-22 23:15:53.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
18,1,,,-121.9018267,47.5467367,2026-01-22 23:15:54.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
19,1,,,-121.9018267,47.5467367,2026-01-22 23:15:55.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
20,1,,,-121.9018267,47.5467367,2026-01-22 23:15:56.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
21,1,,,-121.9018267,47.5467367,2026-01-22 23:15:57.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
22,1,,,-121.9018267,47.5467367,2026-01-22 23:15:58.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
23,1,,,-121.9018267,47.5467367,2026-01-22 23:15:59.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
24,1,,,-121.9018267,47.5467367,2026-01-22 23:16:00.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
25,1,,,-121.9018267,47.5467367,2026-01-22 23:16:01.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
26,1,,,-121.9018267,47.5467367,2026-01-22 23:16:02.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
27,1,,,-121.9018267,47.5467367,2026-01-22 23:16:03.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
28,1,,,-121.9018267,47.5467367,2026-01-22 23:16:04.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
29,1,,,-121.9018533,47.5467700,2026-01-22 23:16:05.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
30,1,,,-121.9018600,47.5467683,2026-01-22 23:16:06.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
31,1,,,-121.9018667,47.5467683,2026-01-22 23:16:07.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
32,1,,,-121.9018733,47.5467667,2026-01-22 23:16:08.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
33,1,,,-121.9018783,47.5467667,2026-01-22 23:16:09.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
34,1,,,-121.9018817,47.5467667,2026-01-22 23:16:10.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
35,1,,,-121.9018867,47.5467667,2026-01-22 23:16:11.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
36,1,,,-121.9018900,47.5467667,2026-01-22 23:16:12.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
37,1,,,-121.9018917,47.5467683,2026-01-22 23:16:13.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
38,1,,,-121.9018933,47.5467700,2026-01-22 23:16:14.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
39,1,,,-121.9018967,47.5467700,2026-01-22 23:16:15.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
40,1,,,-121.9018983,47.5467717,2026-01-22 23:16:16.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
41,1,,,-121.9019000,47.5467733,2026-01-22 23:16:17.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
42,1,,,-121.9019017,47.5467750,2026-01-22 23:16:18.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
43,1,,,-121.9019033,47.5467767,2026-01-22 23:16:19.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
44,1,,,-121.9019033,47.5467767,2026-01-22 23:16:20.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
45,1,,,-121.9019033,47.5467767,2026-01-22 23:16:21.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
46,1,,,-121.9019033,47.5467767,2026-01-22 23:16:22.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
47,1,,,-121.9019033,47.5467767,2026-01-22 23:16:23.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
48,1,,,-121.9019033,47.5467767,2026-01-22 23:16:24.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
49,1,,,-121.9019033,47.5467767,2026-01-22 23:16:25.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
50,1,,,-121.9019033,47.5467767,2026-01-22 23:16:26.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
51,1,,,-121.9019033,47.5467767,2026-01-22 23:16:27.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
52,1,,,-121.9019033,47.5467767,2026-01-22 23:16:28.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
53,1,,,-121.9019033,47.5467767,2026-01-22 23:16:29.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
54,1,,,-121.9019033,47.5467767,2026-01-22 23:16:30.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
55,1,,,-121.9019033,47.5467767,2026-01-22 23:16:31.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
56,1,,,-121.9019033,47.5467767,2026-01-22 23:16:32.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
57,1,,,-121.9019033,47.5467767,2026-01-22 23:16:33.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
58,1,,,-121.9019033,47.5467767,2026-01-22 23:16:34.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
59,1,,,-121.9019033,47.5467767,2026-01-22 23:16:35.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
60,1,,,-121.9019033,47.5467767,2026-01-22 23:16:36.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
61,1,,,-121.9019033,47.5467767,2026-01-22 23:16:37.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
62,1,,,-121.9019033,47.5467767,2026-01-22 23:16:38.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
63,1,,,-121.9019033,47.5467767,2026-01-22 23:16:39.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
64,1,,,-121.9019033,47.5467767,2026-01-22 23:16:40.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
65,1,,,-121.9019033,47.5467767,2026-01-22 23:16:41.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
66,1,,,-121.9019033,47.5467767,2026-01-22 23:16:42.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
67,1,,,-121.9019033,47.5467767,2026-01-22 23:16:43.000,_20260122_151529_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
