IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-23 23:27:05
End Time : 2026-01-23 23:29:44
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1741033,47.5679317,2026-01-23 23:27:05.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1741033,47.5679317,2026-01-23 23:27:06.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1741033,47.5679317,2026-01-23 23:27:07.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1741033,47.5679317,2026-01-23 23:27:08.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1741033,47.5679317,2026-01-23 23:27:09.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1741033,47.5679317,2026-01-23 23:27:10.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1741033,47.5679317,2026-01-23 23:27:11.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1741033,47.5679317,2026-01-23 23:27:12.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1741033,47.5679317,2026-01-23 23:27:13.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1741033,47.5679317,2026-01-23 23:27:14.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1741033,47.5679317,2026-01-23 23:27:14.593,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Start Request,,,,,,
12,1,,,-122.1741033,47.5679317,2026-01-23 23:27:15.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1741033,47.5679317,2026-01-23 23:27:15.654,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Started,,,,,,
14,1,,,-122.1741033,47.5679317,2026-01-23 23:27:16.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1741033,47.5679317,2026-01-23 23:27:17.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,74.449,,,,
16,1,,,-122.1741033,47.5679317,2026-01-23 23:27:17.014,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Ended,,,,,,
17,1,,,-122.1741033,47.5679317,2026-01-23 23:27:18.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,83.734,,,,
18,1,,,-122.1741033,47.5679317,2026-01-23 23:27:19.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1741033,47.5679317,2026-01-23 23:27:20.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1741033,47.5679317,2026-01-23 23:27:21.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1741133,47.5679067,2026-01-23 23:27:22.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1741117,47.5678883,2026-01-23 23:27:22.623,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Start Request,,,,,,
23,1,,,-122.1741117,47.5678883,2026-01-23 23:27:22.858,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Started,,,,,,
24,1,,,-122.1741117,47.5678883,2026-01-23 23:27:23.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1741050,47.5678750,2026-01-23 23:27:24.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1741050,47.5678750,2026-01-23 23:27:24.185,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Ended,,,,,,
27,1,,,-122.1740983,47.5678667,2026-01-23 23:27:25.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,77.405,,,,
28,1,,,-122.1740950,47.5678667,2026-01-23 23:27:26.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
29,1,,,-122.1740933,47.5678650,2026-01-23 23:27:27.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
30,1,,,-122.1740883,47.5678633,2026-01-23 23:27:28.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
31,1,,,-122.1740833,47.5678617,2026-01-23 23:27:29.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
32,1,,,-122.1740850,47.5678617,2026-01-23 23:27:29.654,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Start Request,,,,,,
33,1,,,-122.1740850,47.5678617,2026-01-23 23:27:29.920,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Started,,,,,,
34,1,,,-122.1740850,47.5678617,2026-01-23 23:27:30.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
35,1,,,-122.1740833,47.5678650,2026-01-23 23:27:31.000,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,,,,,,,
36,1,,,-122.1740850,47.5678667,2026-01-23 23:27:31.467,_20260123_152701_CH01_TMO_5GAUTO_SS HTTP UL 15M_L1_SEA.dml,,,,,,,Upload Ended,,,,,,
