IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-23 23:56:47
End Time : 2026-01-24 00:03:48
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1740933,47.5679800,2026-01-23 23:56:47.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1740933,47.5679800,2026-01-23 23:56:48.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1740933,47.5679800,2026-01-23 23:56:49.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1740933,47.5679800,2026-01-23 23:56:50.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1740933,47.5679800,2026-01-23 23:56:51.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1740933,47.5679800,2026-01-23 23:56:52.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1740933,47.5679800,2026-01-23 23:56:53.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1740933,47.5679800,2026-01-23 23:56:54.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1740933,47.5679800,2026-01-23 23:56:55.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1740933,47.5679800,2026-01-23 23:56:56.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1740933,47.5679800,2026-01-23 23:56:57.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1740933,47.5679800,2026-01-23 23:56:58.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1740933,47.5679800,2026-01-23 23:56:59.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1740933,47.5679800,2026-01-23 23:57:00.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1740933,47.5679800,2026-01-23 23:57:01.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1740933,47.5679800,2026-01-23 23:57:02.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1740933,47.5679800,2026-01-23 23:57:03.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1740933,47.5679800,2026-01-23 23:57:04.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1740933,47.5679800,2026-01-23 23:57:05.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1740933,47.5679800,2026-01-23 23:57:06.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1740933,47.5679800,2026-01-23 23:57:07.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1740933,47.5679800,2026-01-23 23:57:08.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1740933,47.5679800,2026-01-23 23:57:09.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1740933,47.5679800,2026-01-23 23:57:10.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1740933,47.5679800,2026-01-23 23:57:11.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1740933,47.5679800,2026-01-23 23:57:12.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1740933,47.5679800,2026-01-23 23:57:13.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
28,1,,,-122.1740933,47.5679800,2026-01-23 23:57:14.000,_20260123_155643_CH02_TMO_5GAUTO_UDP UL 20 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
