IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-24 00:22:54
End Time : 2026-01-24 00:33:35
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1741550,47.5680200,2026-01-24 00:22:54.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1741550,47.5680200,2026-01-24 00:22:55.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1741550,47.5680200,2026-01-24 00:22:56.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1741550,47.5680200,2026-01-24 00:22:57.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1741550,47.5680200,2026-01-24 00:22:58.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1741550,47.5680200,2026-01-24 00:22:59.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1741550,47.5680200,2026-01-24 00:23:00.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1741550,47.5680200,2026-01-24 00:23:01.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1741550,47.5680200,2026-01-24 00:23:02.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1741550,47.5680200,2026-01-24 00:23:03.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1741550,47.5680200,2026-01-24 00:23:04.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1741550,47.5680200,2026-01-24 00:23:05.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1741550,47.5680200,2026-01-24 00:23:06.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1741550,47.5680200,2026-01-24 00:23:07.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,314.234,,,,,
15,1,,,-122.1741550,47.5680200,2026-01-24 00:23:08.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,370.958,,,,,
16,1,,,-122.1741550,47.5680200,2026-01-24 00:23:09.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,330.571,,,,,
17,1,,,-122.1741550,47.5680200,2026-01-24 00:23:10.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,352.136,,,,,
18,1,,,-122.1741550,47.5680200,2026-01-24 00:23:11.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,342.872,,,,,
19,1,,,-122.1741550,47.5680200,2026-01-24 00:23:12.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,362.279,,,,,
20,1,,,-122.1741550,47.5680200,2026-01-24 00:23:13.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,345.693,,,,,
21,1,,,-122.1741450,47.5679717,2026-01-24 00:23:14.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,368.267,,,,,
22,1,,,-122.1741483,47.5679717,2026-01-24 00:23:15.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,351.822,,,,,
23,1,,,-122.1741567,47.5679717,2026-01-24 00:23:16.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,340.269,,,,,
24,1,,,-122.1741417,47.5679783,2026-01-24 00:23:17.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1741383,47.5679850,2026-01-24 00:23:18.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1741450,47.5679867,2026-01-24 00:23:19.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1741483,47.5679850,2026-01-24 00:23:20.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
28,1,,,-122.1741500,47.5679833,2026-01-24 00:23:21.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
29,1,,,-122.1741450,47.5679833,2026-01-24 00:23:22.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
30,1,,,-122.1741433,47.5679850,2026-01-24 00:23:23.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
31,1,,,-122.1741367,47.5679850,2026-01-24 00:23:24.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
32,1,,,-122.1741333,47.5679833,2026-01-24 00:23:25.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
33,1,,,-122.1741333,47.5679833,2026-01-24 00:23:26.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
34,1,,,-122.1741283,47.5679817,2026-01-24 00:23:27.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
35,1,,,-122.1741217,47.5679833,2026-01-24 00:23:28.000,_20260123_162246_CH01_TMO_5GAUTO_UDP DL 400M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
