IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-24 00:39:29
End Time : 2026-01-24 01:04:00
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1741033,47.5679783,2026-01-24 00:39:29.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1741033,47.5679783,2026-01-24 00:39:30.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1741033,47.5679783,2026-01-24 00:39:31.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1741033,47.5679783,2026-01-24 00:39:32.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1741033,47.5679783,2026-01-24 00:39:33.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1741033,47.5679783,2026-01-24 00:39:34.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1741033,47.5679783,2026-01-24 00:39:35.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1741033,47.5679783,2026-01-24 00:39:36.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1741033,47.5679783,2026-01-24 00:39:37.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1741033,47.5679783,2026-01-24 00:39:38.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1741033,47.5679783,2026-01-24 00:39:39.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1741033,47.5679783,2026-01-24 00:39:40.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1741033,47.5679783,2026-01-24 00:39:41.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1741033,47.5679783,2026-01-24 00:39:42.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1741033,47.5679783,2026-01-24 00:39:43.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1741033,47.5679783,2026-01-24 00:39:44.000,_20260123_163926_CH02_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
