IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-26 22:21:23
End Time : 2026-01-26 22:31:45
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1770850,47.5704483,2026-01-26 22:21:23.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1770800,47.5704417,2026-01-26 22:21:24.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1770800,47.5704417,2026-01-26 22:21:25.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1770783,47.5704383,2026-01-26 22:21:26.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1770750,47.5704317,2026-01-26 22:21:27.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1770750,47.5704317,2026-01-26 22:21:28.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1770750,47.5704317,2026-01-26 22:21:29.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1770750,47.5704317,2026-01-26 22:21:30.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1770750,47.5704317,2026-01-26 22:21:31.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1770750,47.5704317,2026-01-26 22:21:32.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1770750,47.5704317,2026-01-26 22:21:33.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1770750,47.5704317,2026-01-26 22:21:34.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1770750,47.5704317,2026-01-26 22:21:35.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1770750,47.5704317,2026-01-26 22:21:36.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1770750,47.5704317,2026-01-26 22:21:37.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1770750,47.5704317,2026-01-26 22:21:38.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1770750,47.5704317,2026-01-26 22:21:39.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1770750,47.5704317,2026-01-26 22:21:40.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1770750,47.5704317,2026-01-26 22:21:41.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1770750,47.5704317,2026-01-26 22:21:43.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1770750,47.5704317,2026-01-26 22:21:44.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1770750,47.5704317,2026-01-26 22:21:45.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1770750,47.5704317,2026-01-26 22:21:46.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1770750,47.5704317,2026-01-26 22:21:47.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1770750,47.5704317,2026-01-26 22:21:48.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1770750,47.5704317,2026-01-26 22:21:49.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,174.707,,,,,
27,1,,,-122.1770433,47.5703933,2026-01-26 22:21:50.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,196.131,,,,,
28,1,,,-122.1770400,47.5703917,2026-01-26 22:21:51.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,183.765,,,,,
29,1,,,-122.1770367,47.5703917,2026-01-26 22:21:52.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,179.306,,,,,
30,1,,,-122.1770333,47.5703900,2026-01-26 22:21:53.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,184.763,,,,,
31,1,,,-122.1770350,47.5703900,2026-01-26 22:21:54.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,179.729,,,,,
32,1,,,-122.1770350,47.5703900,2026-01-26 22:21:55.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,186.737,,,,,
33,1,,,-122.1770350,47.5703900,2026-01-26 22:21:56.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,180.044,,,,,
34,1,,,-122.1770350,47.5703900,2026-01-26 22:21:57.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,186.802,,,,,
35,1,,,-122.1770350,47.5703900,2026-01-26 22:21:58.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,187.149,,,,,
36,1,,,-122.1770350,47.5703900,2026-01-26 22:21:59.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
37,1,,,-122.1770350,47.5703900,2026-01-26 22:22:00.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
38,1,,,-122.1770350,47.5703900,2026-01-26 22:22:01.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
39,1,,,-122.1770350,47.5703967,2026-01-26 22:22:02.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
40,1,,,-122.1770283,47.5704017,2026-01-26 22:22:03.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
41,1,,,-122.1770217,47.5704033,2026-01-26 22:22:04.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
42,1,,,-122.1770133,47.5704083,2026-01-26 22:22:05.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
43,1,,,-122.1770067,47.5704100,2026-01-26 22:22:06.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
44,1,,,-122.1769983,47.5704133,2026-01-26 22:22:07.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
45,1,,,-122.1769933,47.5704133,2026-01-26 22:22:08.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
46,1,,,-122.1769867,47.5704150,2026-01-26 22:22:09.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
47,1,,,-122.1769817,47.5704150,2026-01-26 22:22:10.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
48,1,,,-122.1769750,47.5704167,2026-01-26 22:22:11.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
49,1,,,-122.1769667,47.5704200,2026-01-26 22:22:12.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
50,1,,,-122.1769667,47.5704200,2026-01-26 22:22:13.000,_20260126_142119_CH02_TMO_5GAUTO_UDP DL 200M 10S_L2_SEA.dml,,,,,,,,,,,,,
