IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 01:10:02
End Time : 2026-01-27 01:20:23
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1771317,47.5704350,2026-01-27 01:10:02.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1771317,47.5704367,2026-01-27 01:10:03.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1771333,47.5704383,2026-01-27 01:10:04.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1771333,47.5704383,2026-01-27 01:10:05.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1771333,47.5704383,2026-01-27 01:10:06.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1771333,47.5704383,2026-01-27 01:10:07.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1771333,47.5704383,2026-01-27 01:10:08.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1771333,47.5704383,2026-01-27 01:10:09.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1771333,47.5704383,2026-01-27 01:10:10.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1771333,47.5704383,2026-01-27 01:10:11.000,_20260126_170959_CH02_TMO_5GMHS_UDP DL 60M 10S_L2_SEA.dml,,,,,,,,,,,,,
