IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-27 02:41:48
End Time : 2026-01-27 02:42:07
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1754617,47.5704550,2026-01-27 02:41:48.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1754617,47.5704550,2026-01-27 02:41:49.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1754617,47.5704550,2026-01-27 02:41:50.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1754683,47.5704550,2026-01-27 02:41:51.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1754700,47.5704567,2026-01-27 02:41:52.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1754683,47.5704583,2026-01-27 02:41:53.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1754667,47.5704650,2026-01-27 02:41:54.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1754667,47.5704650,2026-01-27 02:41:55.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1754667,47.5704650,2026-01-27 02:41:56.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1754683,47.5704800,2026-01-27 02:41:57.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1754700,47.5704850,2026-01-27 02:41:58.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1754717,47.5704883,2026-01-27 02:41:59.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1754683,47.5704850,2026-01-27 02:42:00.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1754667,47.5704833,2026-01-27 02:42:01.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1754667,47.5704833,2026-01-27 02:42:02.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1754667,47.5704833,2026-01-27 02:42:03.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1754883,47.5704867,2026-01-27 02:42:04.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1754883,47.5704917,2026-01-27 02:42:05.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1754933,47.5704950,2026-01-27 02:42:06.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1754933,47.5704950,2026-01-27 02:42:07.000,_20260126_184026_CH01_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
