IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-27 02:48:20
End Time : 2026-01-27 02:48:41
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,,,2026-01-27 02:48:20.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1754300,47.5704600,2026-01-27 02:48:22.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1754300,47.5704600,2026-01-27 02:48:23.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1754300,47.5704600,2026-01-27 02:48:24.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1754300,47.5704600,2026-01-27 02:48:25.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1754300,47.5704600,2026-01-27 02:48:26.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1754300,47.5704600,2026-01-27 02:48:27.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1754300,47.5704600,2026-01-27 02:48:28.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1754300,47.5704600,2026-01-27 02:48:29.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1754300,47.5704600,2026-01-27 02:48:30.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1754300,47.5704600,2026-01-27 02:48:31.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1754300,47.5704600,2026-01-27 02:48:32.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1754300,47.5704600,2026-01-27 02:48:33.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1754300,47.5704600,2026-01-27 02:48:34.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1755200,47.5704900,2026-01-27 02:48:35.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1755233,47.5704850,2026-01-27 02:48:36.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1755233,47.5704817,2026-01-27 02:48:37.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1755217,47.5704800,2026-01-27 02:48:38.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1755250,47.5704750,2026-01-27 02:48:39.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1755267,47.5704733,2026-01-27 02:48:40.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1755267,47.5704733,2026-01-27 02:48:41.000,_20260126_184807_CH01_TMO_5GA_app dl 60m_L2_SEA.dml,,,,,,,,,,,,,
