IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-22 22:17:24
End Time : 2026-01-22 22:29:49
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9018117,47.5466700,2026-01-22 22:17:24.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9018050,47.5466867,2026-01-22 22:17:25.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9018050,47.5466867,2026-01-22 22:17:26.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9017967,47.5467233,2026-01-22 22:17:27.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9017900,47.5467383,2026-01-22 22:17:28.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9017900,47.5467517,2026-01-22 22:17:29.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9017867,47.5467667,2026-01-22 22:17:30.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9017867,47.5467783,2026-01-22 22:17:31.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9017933,47.5467917,2026-01-22 22:17:32.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9017950,47.5468000,2026-01-22 22:17:33.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9018033,47.5468017,2026-01-22 22:17:34.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
12,1,,,-121.9018083,47.5468000,2026-01-22 22:17:35.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
13,1,,,-121.9018050,47.5467967,2026-01-22 22:17:36.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
14,1,,,-121.9018050,47.5467967,2026-01-22 22:17:36.251,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,Download Start Request,,,,,,
15,1,,,-121.9018100,47.5467967,2026-01-22 22:17:37.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
16,1,,,-121.9018100,47.5467967,2026-01-22 22:17:37.454,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,Download File Size Retrieved,,,,,,
17,1,,,-121.9018100,47.5467967,2026-01-22 22:17:37.454,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,Download Started,,,,,,
18,1,,,-121.9018117,47.5467967,2026-01-22 22:17:38.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
19,1,,,-121.9018200,47.5468133,2026-01-22 22:17:39.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,,,,,,
20,1,,,-121.9018200,47.5468250,2026-01-22 22:17:40.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,45.154,,,,,
21,1,,,-121.9018250,47.5468567,2026-01-22 22:17:41.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,25.683,,,,,
22,1,,,-121.9018283,47.5468817,2026-01-22 22:17:42.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,34.985,,,,,
23,1,,,-121.9018333,47.5468950,2026-01-22 22:17:43.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,24.689,,,,,
24,1,,,-121.9018467,47.5468983,2026-01-22 22:17:44.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,18.397,,,,,
25,1,,,-121.9018667,47.5469000,2026-01-22 22:17:45.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,34.921,,,,,
26,1,,,-121.9018817,47.5468933,2026-01-22 22:17:46.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,37.702,,,,,
27,1,,,-121.9019033,47.5468950,2026-01-22 22:17:47.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,36.547,,,,,
28,1,,,-121.9019267,47.5469017,2026-01-22 22:17:48.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,37.371,,,,,
29,1,,,-121.9019633,47.5469033,2026-01-22 22:17:49.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,37.595,,,,,
30,1,,,-121.9020050,47.5469100,2026-01-22 22:17:50.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,24.914,,,,,
31,1,,,-121.9020483,47.5469133,2026-01-22 22:17:51.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,31.807,,,,,
32,1,,,-121.9020950,47.5469067,2026-01-22 22:17:52.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,40.198,,,,,
33,1,,,-121.9021383,47.5468983,2026-01-22 22:17:53.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,35.063,,,,,
34,1,,,-121.9021800,47.5468900,2026-01-22 22:17:54.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,33.357,,,,,
35,1,,,-121.9022133,47.5468767,2026-01-22 22:17:55.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,35.399,,,,,
36,1,,,-121.9022450,47.5468750,2026-01-22 22:17:56.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,34.299,,,,,
37,1,,,-121.9020100,47.5468500,2026-01-22 22:17:57.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,38.953,,,,,
38,1,,,-121.9019500,47.5468450,2026-01-22 22:17:58.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,40.935,,,,,
39,1,,,-121.9019150,47.5468433,2026-01-22 22:17:59.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,40.401,,,,,
40,1,,,-121.9019000,47.5468467,2026-01-22 22:18:00.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,21.344,,,,,
41,1,,,-121.9019000,47.5468467,2026-01-22 22:18:01.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,41.053,,,,,
42,1,,,-121.9018617,47.5468450,2026-01-22 22:18:02.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,34.950,,,,,
43,1,,,-121.9018483,47.5468517,2026-01-22 22:18:03.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,38.808,,,,,
44,1,,,-121.9018417,47.5468600,2026-01-22 22:18:04.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,34.381,,,,,
45,1,,,-121.9018300,47.5468733,2026-01-22 22:18:05.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,15.631,,,,,
46,1,,,-121.9018233,47.5468850,2026-01-22 22:18:06.000,_20260122_141720_CH01_TMO_5GAUTO_MS HTTP DL for 30s_L3_SEA.dml,,,,,,,,45.745,,,,,
