IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-22 22:55:56
End Time : 2026-01-22 23:09:56
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9018917,47.5467983,2026-01-22 22:55:56.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9018917,47.5467983,2026-01-22 22:55:57.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9018917,47.5467983,2026-01-22 22:55:58.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9018917,47.5467983,2026-01-22 22:55:59.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9018917,47.5467983,2026-01-22 22:56:00.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9018917,47.5467983,2026-01-22 22:56:01.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9018917,47.5467983,2026-01-22 22:56:02.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9018917,47.5467983,2026-01-22 22:56:03.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9018917,47.5467983,2026-01-22 22:56:04.880,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,Upload Start Request,,,,,,
10,1,,,-121.9018917,47.5467983,2026-01-22 22:56:05.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9018917,47.5467983,2026-01-22 22:56:05.584,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,Upload Started,,,,,,
12,1,,,-121.9018917,47.5467983,2026-01-22 22:56:06.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
13,1,,,-121.9018917,47.5467983,2026-01-22 22:56:07.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
14,1,,,-121.9018917,47.5467983,2026-01-22 22:56:08.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,78.643,,,,
15,1,,,-121.9018917,47.5467983,2026-01-22 22:56:09.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
16,1,,,-121.9018917,47.5467983,2026-01-22 22:56:10.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
17,1,,,-121.9018917,47.5467983,2026-01-22 22:56:11.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
18,1,,,-121.9018917,47.5467983,2026-01-22 22:56:12.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
19,1,,,-121.9018917,47.5467983,2026-01-22 22:56:13.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
20,1,,,-121.9018917,47.5467983,2026-01-22 22:56:14.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,6.298,,,,
21,1,,,-121.9018917,47.5467983,2026-01-22 22:56:15.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
22,1,,,-121.9018917,47.5467983,2026-01-22 22:56:16.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,6.291,,,,
23,1,,,-121.9018917,47.5467983,2026-01-22 22:56:17.000,_20260122_145447_CH02_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
