IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9263117,40.7602833,2026-01-22 17:41:00.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(x)+N25(x),,429,-72.000000,20.000000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9263117,40.7602833,2026-01-22 17:41:01.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-72.760000,20.560000,,,,,,,,,,,,,0.000,,,,
3,1,,,-73.9263117,40.7602833,2026-01-22 17:41:02.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-71.530000,21.110000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9263117,40.7602833,2026-01-22 17:41:03.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-71.570000,22.060000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9263117,40.7602833,2026-01-22 17:41:04.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-71.830000,21.450000,,,,,,,,,,,,,0.008,,,,
6,1,,,-73.9263117,40.7602833,2026-01-22 17:41:05.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-72.120000,21.460000,,,,,,,,,,,,,0.000,,,,
7,1,,,-73.9263117,40.7602833,2026-01-22 17:41:06.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-72.000000,22.330000,,,,,,,,,,,,,,,,,
8,1,,,-73.9263117,40.7602833,2026-01-22 17:41:07.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(15),,429,-71.980000,23.400000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9263117,40.7602833,2026-01-22 17:41:08.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(x)+N25(x),,429,-72.000000,23.130000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9263117,40.7602833,2026-01-22 17:41:09.000,_20260122_124053_CH01_REF_TMO_HTTP MS DL_NJ DUT REF_L1.dml,,,,N41(100)+N25(x),,429,-72.500000,20.750000,,,,,,,,,,,,,,,,,
