IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9263567,40.7601917,2026-01-22 19:48:43.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263400,40.7601733,2026-01-22 19:48:44.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9263400,40.7601733,2026-01-22 19:48:45.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9263400,40.7601733,2026-01-22 19:48:46.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9263400,40.7601733,2026-01-22 19:48:47.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9263400,40.7601733,2026-01-22 19:48:48.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9263400,40.7601733,2026-01-22 19:48:49.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,N41(100),,429,-74.000000,22.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9263400,40.7601733,2026-01-22 19:48:51.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9263400,40.7601733,2026-01-22 19:48:52.489,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,MeasureStart,,,,,
10,1,,,-73.9263400,40.7601733,2026-01-22 19:48:52.489,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,START,,,,,
11,1,,,-73.9263400,40.7601733,2026-01-22 19:48:52.489,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Call Start,,,,,
12,1,,,-73.9263400,40.7601733,2026-01-22 19:48:52.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9263400,40.7601733,2026-01-22 19:48:53.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9263400,40.7601733,2026-01-22 19:48:54.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9263400,40.7601733,2026-01-22 19:48:55.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
16,1,,,-73.9263400,40.7601733,2026-01-22 19:48:56.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,,,-73.9263400,40.7601733,2026-01-22 19:48:57.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,-73.9263400,40.7601733,2026-01-22 19:48:57.489,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,,,
19,1,,,-73.9263400,40.7601733,2026-01-22 19:48:57.489,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,IPERF_T_Start,,,,,
20,1,,,-73.9263400,40.7601733,2026-01-22 19:48:58.000,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
21,1,,,-73.9263400,40.7601733,2026-01-22 19:48:58.349,_20260122_144835_CH01_REF_TMO_UDP UL 10MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,Iperf Upload Start,,,,,
