IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9263283,40.7601833,2026-01-22 21:48:21.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9263233,40.7601867,2026-01-22 21:48:22.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9263200,40.7601900,2026-01-22 21:48:23.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9263200,40.7601917,2026-01-22 21:48:25.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9263183,40.7601917,2026-01-22 21:48:26.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N71(x),,429,-78.500000,19.270000,,,,,,,,,,,,,,,,,
6,1,,,-73.9263167,40.7601933,2026-01-22 21:48:27.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),,429,-78.460000,19.740000,,,,,,,,,,,,,0.008,,,,
7,1,,,-73.9263167,40.7601933,2026-01-22 21:48:28.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),,429,-81.320000,19.000000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9263200,40.7601917,2026-01-22 21:48:29.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),,429,-81.980000,19.920000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9263200,40.7601933,2026-01-22 21:48:30.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),,429,-82.400000,21.760000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9263200,40.7601933,2026-01-22 21:48:31.000,_20260122_164816_CH01_REF_TMO_Playstore 30MB_NJ DUT REF_L1.dml,,,,N41(100)+N71(15),NR SA,429,-84.520000,21.560000,,,,,,,,,,,,,0.000,,,,
