IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9600900,40.8175683,2026-01-25 01:00:18.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9600900,40.8175683,2026-01-25 01:00:19.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9600900,40.8175683,2026-01-25 01:00:20.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,N41(x),,378,-88.000000,3.000000,,,,,,,,,,,,,,,,,
4,1,,,-73.9600900,40.8175683,2026-01-25 01:00:21.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9600900,40.8175683,2026-01-25 01:00:22.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9600900,40.8175683,2026-01-25 01:00:23.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9600900,40.8175683,2026-01-25 01:00:24.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,N41(x),,378,-88.000000,4.000000,,,,,,,,,,,,,,,,,
8,1,,,-73.9600900,40.8175683,2026-01-25 01:00:25.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9600900,40.8175683,2026-01-25 01:00:26.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9600900,40.8175683,2026-01-25 01:00:27.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-73.9600900,40.8175683,2026-01-25 01:00:28.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,N41(x),,378,-88.000000,5.000000,,,,,,,,,,,,,,,,,
12,1,,,-73.9600900,40.8175683,2026-01-25 01:00:29.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
13,1,,,-73.9600900,40.8175683,2026-01-25 01:00:30.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
14,1,,,-73.9600683,40.8175533,2026-01-25 01:00:31.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,,NR SA,,,,,,,,,,,,,,,,,,,,
15,1,,,-73.9600683,40.8175533,2026-01-25 01:00:32.000,_20260124_200014_CH02_DUT_TMO-AUTO_Playstore 60MB Downlink_NJ DUT REF_L3.dml,,,,N41(x),NR SA,378,-88.000000,4.000000,,,,,,,,,,,,,,,,,
