IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9601650,40.8175650,2026-01-25 00:27:17.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.240000,-0.940000,,,,,,,,,,,,,0.000,,,,
2,1,,,-73.9601650,40.8175650,2026-01-25 00:27:18.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.540000,-0.400000,,,,,,,,,,,,,0.000,,,,
3,1,,,-73.9601650,40.8175650,2026-01-25 00:27:19.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.220000,-0.140000,,,,,,,,,,,,,0.000,,,,
4,1,,,-73.9601650,40.8175650,2026-01-25 00:27:20.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-98.800000,-0.320000,,,,,,,,,,,,,0.000,,,,
5,1,,,-73.9601650,40.8175650,2026-01-25 00:27:21.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.180000,-0.130000,,,,,,,,,,,,,0.000,,,,
6,1,,,-73.9601650,40.8175650,2026-01-25 00:27:22.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.260000,-0.700000,,,,,,,,,,,,,0.008,,,,
7,1,,,-73.9601650,40.8175650,2026-01-25 00:27:23.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-100.340000,-1.200000,,,,,,,,,,,,,0.000,,,,
8,1,,,-73.9601650,40.8175650,2026-01-25 00:27:24.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.860000,-0.900000,,,,,,,,,,,,,0.000,,,,
9,1,,,-73.9601650,40.8175650,2026-01-25 00:27:25.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-98.440000,0.000000,,,,,,,,,,,,,0.000,,,,
10,1,,,-73.9601650,40.8175650,2026-01-25 00:27:25.899,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING MeasureStart,,,
11,1,,,-73.9601650,40.8175650,2026-01-25 00:27:25.899,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
12,1,,,-73.9601650,40.8175650,2026-01-25 00:27:26.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.360000,-0.120000,,,,,,,,,,,,,0.000,,,,
13,1,,,-73.9601650,40.8175650,2026-01-25 00:27:27.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.120000,-0.340000,,,,,,,,,,,,,0.000,,,,
14,1,,,-73.9601650,40.8175650,2026-01-25 00:27:28.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-98.900000,-0.150000,,,,,,,,,,,,,0.000,,,,
15,1,,,-73.9601650,40.8175650,2026-01-25 00:27:28.899,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
16,1,,,-73.9601650,40.8175650,2026-01-25 00:27:28.899,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
17,1,,,-73.9601650,40.8175650,2026-01-25 00:27:29.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.050000,-0.070000,,,,,,,,,,,,,0.000,,,,
18,1,,,-73.9601650,40.8175650,2026-01-25 00:27:29.086,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,37
19,1,,,-73.9601650,40.8175650,2026-01-25 00:27:29.289,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,32
20,1,,,-73.9601650,40.8175650,2026-01-25 00:27:29.478,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,31
21,1,,,-73.9601650,40.8175650,2026-01-25 00:27:29.680,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,32
22,1,,,-73.9601650,40.8175650,2026-01-25 00:27:29.883,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,31
23,1,,,-73.9601650,40.8175650,2026-01-25 00:27:30.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.460000,-0.800000,,,,,,,,,,,,,0.016,,,,
24,1,,,-73.9601650,40.8175650,2026-01-25 00:27:30.086,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,34
25,1,,,-73.9601650,40.8175650,2026-01-25 00:27:30.274,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,29
26,1,,,-73.9601650,40.8175650,2026-01-25 00:27:30.477,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,28
27,1,,,-73.9601650,40.8175650,2026-01-25 00:27:30.680,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,28
28,1,,,-73.9601650,40.8175650,2026-01-25 00:27:30.914,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,46
29,1,,,-73.9601650,40.8175650,2026-01-25 00:27:31.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-98.960000,-0.080000,,,,,,,,,,,,,0.008,,,,
30,1,,,-73.9601650,40.8175650,2026-01-25 00:27:31.086,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,44
31,1,,,-73.9601650,40.8175650,2026-01-25 00:27:31.305,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,44
32,1,,,-73.9601650,40.8175650,2026-01-25 00:27:31.508,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,49
33,1,,,-73.9601650,40.8175650,2026-01-25 00:27:31.711,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,48
34,1,,,-73.9601650,40.8175650,2026-01-25 00:27:31.914,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,53
35,1,,,-73.9601650,40.8175650,2026-01-25 00:27:32.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.040000,-0.340000,,,,,,,,,,,,,0.016,,,,
36,1,,,-73.9601650,40.8175650,2026-01-25 00:27:32.102,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,39
37,1,,,-73.9601650,40.8175650,2026-01-25 00:27:32.305,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,45
38,1,,,-73.9601650,40.8175650,2026-01-25 00:27:32.507,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,44
39,1,,,-73.9601650,40.8175650,2026-01-25 00:27:32.711,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,45
40,1,,,-73.9601650,40.8175650,2026-01-25 00:27:32.914,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,37
41,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-98.980000,0.040000,,,,,,,,,,,,,0.016,,,,
42,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.102,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,40
43,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.305,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,40
44,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.507,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,39
45,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.711,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,38
46,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.914,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,49
47,1,,,-73.9601650,40.8175650,2026-01-25 00:27:33.961,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic End,,,
48,1,,,-73.9601650,40.8175650,2026-01-25 00:27:34.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.160000,0.000000,,,,,,,,,,,,,0.016,,,,
49,1,,,-73.9601650,40.8175650,2026-01-25 00:27:35.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.290000,-0.100000,,,,,,,,,,,,,0.000,,,,
50,1,,,-73.9601650,40.8175650,2026-01-25 00:27:36.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.460000,-0.270000,,,,,,,,,,,,,,,,,
51,1,,,-73.9601650,40.8175650,2026-01-25 00:27:36.977,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_Idle,,,
52,1,,,-73.9601650,40.8175650,2026-01-25 00:27:36.977,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,0,
53,1,,,-73.9601650,40.8175650,2026-01-25 00:27:36.977,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING START,,,
54,1,,,-73.9601650,40.8175650,2026-01-25 00:27:37.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.340000,-0.440000,,,,,,,,,,,,,0.000,,,,
55,1,,,-73.9601650,40.8175650,2026-01-25 00:27:38.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.320000,-0.080000,,,,,,,,,,,,,0.000,,,,
56,1,,,-73.9601650,40.8175650,2026-01-25 00:27:39.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),,378,-99.460000,-0.440000,,,,,,,,,,,,,0.000,,,,
57,1,,,-73.9601650,40.8175650,2026-01-25 00:27:39.992,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,TIMEOUT_FrontIdle,,,
58,1,,,-73.9601650,40.8175650,2026-01-25 00:27:39.992,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,PING Traffic Start,,,
59,1,,,-73.9601650,40.8175650,2026-01-25 00:27:40.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.000000,0.000000,,,,,,,,,,,,,0.000,,,,
60,1,,,-73.9601650,40.8175650,2026-01-25 00:27:40.132,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,29
61,1,,,-73.9601650,40.8175650,2026-01-25 00:27:40.336,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,30
62,1,,,-73.9601650,40.8175650,2026-01-25 00:27:40.555,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,37
63,1,,,-73.9601650,40.8175650,2026-01-25 00:27:40.743,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,35
64,1,,,-73.9601650,40.8175650,2026-01-25 00:27:40.946,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,35
65,1,,,-73.9601650,40.8175650,2026-01-25 00:27:41.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.440000,-0.320000,,,,,,,,,,,,,0.000,,,,
66,1,,,-73.9601650,40.8175650,2026-01-25 00:27:41.149,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,38
67,1,,,-73.9601650,40.8175650,2026-01-25 00:27:41.336,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,33
68,1,,,-73.9601650,40.8175650,2026-01-25 00:27:41.539,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,27
69,1,,,-73.9601650,40.8175650,2026-01-25 00:27:41.742,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,34
70,1,,,-73.9601650,40.8175650,2026-01-25 00:27:41.946,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,29
71,1,,,-73.9601650,40.8175650,2026-01-25 00:27:42.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.800000,-0.350000,,,,,,,,,,,,,0.016,,,,
72,1,,,-73.9601650,40.8175650,2026-01-25 00:27:42.149,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,35
73,1,,,-73.9601650,40.8175650,2026-01-25 00:27:42.368,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,49
74,1,,,-73.9601650,40.8175650,2026-01-25 00:27:42.571,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,48
75,1,,,-73.9601650,40.8175650,2026-01-25 00:27:42.774,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,52
76,1,,,-73.9601650,40.8175650,2026-01-25 00:27:42.977,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,51
77,1,,,-73.9601650,40.8175650,2026-01-25 00:27:43.000,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,N41(100)+N71(15),NR SA,378,-99.000000,0.000000,,,,,,,,,,,,,0.016,,,,
78,1,,,-73.9601650,40.8175650,2026-01-25 00:27:43.164,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,44
79,1,,,-73.9601650,40.8175650,2026-01-25 00:27:43.367,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,45
80,1,,,-73.9601650,40.8175650,2026-01-25 00:27:43.571,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,46
81,1,,,-73.9601650,40.8175650,2026-01-25 00:27:43.774,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,45
82,1,,,-73.9601650,40.8175650,2026-01-25 00:27:43.978,_20260124_192714_CH03_REF_TMO-NSA_PING_NJ DUT REF_L3.dml,,,,,,,,,,,,,,,,,,,,,,,,,51
