IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] RS SINR,[General] Band Classification,[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [iPerf] [Throughput] DL Jitter,[Call Test] [iPerf] [Throughput] DL Error Ratio,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Jitter,[Call Test] [iPerf] [Call Average] [Jitter and Error] UL Error Ratio,[Event] [Data call test detail events] FTP Call Event,[Event] [Data call test detail events] HTTP Call Event,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [iPerf] [Call Average] [Throughput] UL Avg TP,[Call Test] [iPerf] [Call Average] [Throughput] DL Avg TP,[Call Test] [Throughput] Application UL TP,[Event] [Data call test detail events] IPERF Call Event,[NR5G] [Throughput] PUSCH TP,[Event] [Data call test detail events] Ping Call Event,[Call Test] [HTTP] Total duration,[Call Test] [PING] Loss Count,[Call Test] [PING] [RTT] RTT
1,1,,,-73.9875256,40.7622188,2026-01-28 00:12:50.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-78.000000,10.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
2,1,,,-73.9875256,40.7622188,2026-01-28 00:12:51.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-78.000000,11.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
3,1,,,-73.9875256,40.7622188,2026-01-28 00:12:52.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.000000,11.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
4,1,,,-73.9875256,40.7622188,2026-01-28 00:12:53.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-73.9875256,40.7622188,2026-01-28 00:12:54.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.000000,12.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
6,1,,,-73.9875386,40.7622142,2026-01-28 00:12:55.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.000000,9.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
7,1,,,-73.9875386,40.7622142,2026-01-28 00:12:56.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.000000,12.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
8,1,,,-73.9875386,40.7622142,2026-01-28 00:12:57.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.000000,9.000000,B66(x),,,,,,,,,,,,,,,,,,,,,
9,1,,,-73.9875386,40.7622142,2026-01-28 00:12:58.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-73.9875386,40.7622142,2026-01-28 00:12:58.886,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Start Request,,,,,,,,,,
11,1,,,-73.9875386,40.7622142,2026-01-28 00:12:59.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.000000,7.000000,B66(x),LTE,,,,,,,,,,,,,,,,,,,,
12,1,,,-73.9875386,40.7622142,2026-01-28 00:12:59.403,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Started,,,,,,,,,,
13,1,,,-73.9875386,40.7622142,2026-01-28 00:13:00.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-79.710000,13.140000,B66(20)+N41(100),NR NSA,371,-80.330000,11.750000,,,,,,,,,,,,,,,,,
14,1,,,-73.9875386,40.7622142,2026-01-28 00:13:00.636,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,,,,,,,,,,,,,,,Upload Ended,,,,,,,,,,
15,1,,,-73.9875386,40.7622142,2026-01-28 00:13:01.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-81.200000,10.520000,B66(20)+N41(100),NR NSA,371,-79.540000,14.130000,,,,,,,,,,,,,53.616,,,,
16,1,,,-73.9875386,40.7622142,2026-01-28 00:13:02.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-81.000000,7.640000,B66(20)+N41(100),NR NSA,371,-77.890000,16.890000,,,,,,,,,,,17.600,,,,,,
17,1,,,-73.9875386,40.7622142,2026-01-28 00:13:03.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-81.000000,12.000000,B66(20)+N41(100),,371,-77.140000,18.430000,,,,,,,,,,,,,27.672,,,,
18,1,,,-73.9881233,40.7625367,2026-01-28 00:13:04.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-81.000000,5.200000,B66(20)+N41(100),,371,-78.000000,17.750000,,,,,,,,,,,,,0.000,,,,
19,1,,,-73.9881300,40.7623933,2026-01-28 00:13:05.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-81.000000,5.330000,B66(20)+N41(100),,371,-77.310000,18.540000,,,,,,,,,,,,,,,,,
20,1,,,-73.9881300,40.7623933,2026-01-28 00:13:06.000,_20260127_191246_CH02_DUT_TMO-NSA_HTTP SS UL_NJ NY_L2.dml,245,-81.000000,5.330000,B66(20)+N41(100),,371,-78.430000,17.290000,,,,,,,,,,,,,0.000,,,,
