IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-22 22:41:27
End Time : 2026-01-22 22:52:06
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9018583,47.5467117,2026-01-22 22:41:27.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9018583,47.5467117,2026-01-22 22:41:28.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9018583,47.5467117,2026-01-22 22:41:29.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9018583,47.5467117,2026-01-22 22:41:30.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9018583,47.5467117,2026-01-22 22:41:31.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9018583,47.5467117,2026-01-22 22:41:32.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9018583,47.5467117,2026-01-22 22:41:33.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9018583,47.5467117,2026-01-22 22:41:34.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9018583,47.5467117,2026-01-22 22:41:35.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9018583,47.5467117,2026-01-22 22:41:36.000,_20260122_144120_CH01_TMO_5GAUTO_UDP DL 400M for 10S_L3_SEA.dml,,,,,,,,,,,,,
