IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-22 22:55:56
End Time : 2026-01-22 23:10:00
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9019033,47.5467817,2026-01-22 22:55:56.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9019033,47.5467817,2026-01-22 22:55:57.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9019350,47.5468200,2026-01-22 22:55:58.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9019450,47.5468300,2026-01-22 22:55:59.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9019417,47.5468400,2026-01-22 22:56:00.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9019517,47.5468500,2026-01-22 22:56:01.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9019517,47.5468533,2026-01-22 22:56:02.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9019500,47.5468533,2026-01-22 22:56:03.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9019433,47.5468650,2026-01-22 22:56:04.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9019383,47.5468700,2026-01-22 22:56:04.876,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,Upload Start Request,,,,,,
11,1,,,-121.9019383,47.5468700,2026-01-22 22:56:05.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
12,1,,,-121.9019383,47.5468700,2026-01-22 22:56:06.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
13,1,,,-121.9019383,47.5468700,2026-01-22 22:56:07.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
14,1,,,-121.9019417,47.5468717,2026-01-22 22:56:07.174,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,Upload Started,,,,,,
15,1,,,-121.9019433,47.5468667,2026-01-22 22:56:08.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
16,1,,,-121.9019433,47.5468667,2026-01-22 22:56:09.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,,,,,
17,1,,,-121.9019233,47.5468483,2026-01-22 22:56:10.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,78.643,,,,
18,1,,,-121.9019183,47.5468350,2026-01-22 22:56:11.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
19,1,,,-121.9019117,47.5468383,2026-01-22 22:56:12.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
20,1,,,-121.9019150,47.5468367,2026-01-22 22:56:13.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
21,1,,,-121.9019050,47.5468383,2026-01-22 22:56:14.000,_20260122_145447_CH01_TMO_5GAUTO_MS HTTP UL for  30S_L3_SEA.dml,,,,,,,,,0.000,,,,
