IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-22 23:25:26
End Time : 2026-01-22 23:27:19
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9017583,47.5468083,2026-01-22 23:25:26.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9017550,47.5468100,2026-01-22 23:25:27.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9017500,47.5468133,2026-01-22 23:25:28.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9017483,47.5468150,2026-01-22 23:25:29.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9017450,47.5468167,2026-01-22 23:25:30.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9017433,47.5468183,2026-01-22 23:25:31.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9017417,47.5468183,2026-01-22 23:25:32.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9017417,47.5468167,2026-01-22 23:25:33.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9017417,47.5468167,2026-01-22 23:25:34.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9017417,47.5468133,2026-01-22 23:25:35.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9017467,47.5468117,2026-01-22 23:25:36.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
12,1,,,-121.9017483,47.5468100,2026-01-22 23:25:37.000,_20260122_152522_CH02_TMO_5GAUTO_UDP UL 10M FOR 10S_L3_SEA.dml,,,,,,,,,,,,,
