IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-23 20:53:09
End Time : 2026-01-23 21:01:21
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-121.9017333,47.5467483,2026-01-23 20:53:09.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
2,1,,,-121.9017333,47.5467483,2026-01-23 20:53:10.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
3,1,,,-121.9017333,47.5467483,2026-01-23 20:53:11.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
4,1,,,-121.9017333,47.5467483,2026-01-23 20:53:12.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
5,1,,,-121.9017333,47.5467483,2026-01-23 20:53:13.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
6,1,,,-121.9017333,47.5467483,2026-01-23 20:53:14.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
7,1,,,-121.9017350,47.5467300,2026-01-23 20:53:15.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
8,1,,,-121.9017300,47.5467283,2026-01-23 20:53:16.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
9,1,,,-121.9017250,47.5467300,2026-01-23 20:53:17.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
10,1,,,-121.9017183,47.5467300,2026-01-23 20:53:18.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
11,1,,,-121.9017183,47.5467300,2026-01-23 20:53:18.136,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,Upload Start Request,,,,,,
12,1,,,-121.9017133,47.5467333,2026-01-23 20:53:18.322,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,Upload Started,,,,,,
13,1,,,-121.9017133,47.5467333,2026-01-23 20:53:19.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
14,1,,,-121.9017100,47.5467317,2026-01-23 20:53:20.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,,,,,
15,1,,,-121.9017067,47.5467333,2026-01-23 20:53:21.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,23.069,,,,
16,1,,,-121.9017033,47.5467333,2026-01-23 20:53:22.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,46.137,,,,
17,1,,,-121.9017000,47.5467333,2026-01-23 20:53:23.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
18,1,,,-121.9016967,47.5467333,2026-01-23 20:53:24.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
19,1,,,-121.9016950,47.5467350,2026-01-23 20:53:25.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
20,1,,,-121.9016950,47.5467350,2026-01-23 20:53:26.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
21,1,,,-121.9016950,47.5467367,2026-01-23 20:53:27.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
22,1,,,-121.9016950,47.5467383,2026-01-23 20:53:28.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
23,1,,,-121.9016967,47.5467400,2026-01-23 20:53:29.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,26.214,,,,
24,1,,,-121.9016983,47.5467417,2026-01-23 20:53:30.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
25,1,,,-121.9016983,47.5467417,2026-01-23 20:53:31.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
26,1,,,-121.9016983,47.5467417,2026-01-23 20:53:32.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,22.020,,,,
27,1,,,-121.9016983,47.5467417,2026-01-23 20:53:33.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
28,1,,,-121.9016983,47.5467417,2026-01-23 20:53:34.000,_20260123_125304_CH02_TMO_5GAUTO_SS HTTP UL 15M_L3_SEA.dml,,,,,,,,,0.000,,,,
