IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-23 23:32:17
End Time : 2026-01-23 23:46:17
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1741450,47.5679600,2026-01-23 23:32:17.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1741450,47.5679600,2026-01-23 23:32:18.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1741450,47.5679600,2026-01-23 23:32:19.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1741450,47.5679600,2026-01-23 23:32:20.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1741450,47.5679600,2026-01-23 23:32:21.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1741450,47.5679600,2026-01-23 23:32:22.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1741450,47.5679600,2026-01-23 23:32:23.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1741450,47.5679600,2026-01-23 23:32:24.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1741450,47.5679600,2026-01-23 23:32:25.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1741450,47.5679600,2026-01-23 23:32:26.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1741450,47.5679600,2026-01-23 23:32:26.424,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,Upload Start Request,,,,,,
12,1,,,-122.1741450,47.5679600,2026-01-23 23:32:27.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1741450,47.5679600,2026-01-23 23:32:27.128,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,Upload Started,,,,,,
14,1,,,-122.1741450,47.5679600,2026-01-23 23:32:28.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1741450,47.5679600,2026-01-23 23:32:29.000,_20260123_153212_CH02_TMO_5GAUTO_MS HTTP UL For 30S_L1_SEA.dml,,,,,,,,,,,,,
