IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-23 23:48:30
End Time : 2026-01-23 23:55:44
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1741650,47.5680250,2026-01-23 23:48:30.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1741650,47.5680250,2026-01-23 23:48:31.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1741650,47.5680250,2026-01-23 23:48:32.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1741650,47.5680250,2026-01-23 23:48:33.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1741650,47.5680250,2026-01-23 23:48:34.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1741650,47.5680250,2026-01-23 23:48:35.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1741650,47.5680250,2026-01-23 23:48:36.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1741650,47.5680250,2026-01-23 23:48:37.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1741650,47.5680250,2026-01-23 23:48:38.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1741650,47.5680250,2026-01-23 23:48:39.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1741650,47.5680250,2026-01-23 23:48:40.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1741650,47.5680250,2026-01-23 23:48:41.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1741650,47.5680250,2026-01-23 23:48:42.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1741650,47.5680250,2026-01-23 23:48:43.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1741383,47.5679333,2026-01-23 23:48:44.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1741383,47.5679250,2026-01-23 23:48:45.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1741367,47.5679217,2026-01-23 23:48:46.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1741367,47.5679200,2026-01-23 23:48:47.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1741367,47.5679200,2026-01-23 23:48:48.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1741367,47.5679200,2026-01-23 23:48:49.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1741367,47.5679200,2026-01-23 23:48:50.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1741367,47.5679200,2026-01-23 23:48:51.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1741367,47.5679200,2026-01-23 23:48:52.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1741367,47.5679200,2026-01-23 23:48:53.000,_20260123_154823_CH01_TMO_5GAUTO_UDP UL 10 FOR 10_L1_SEA.dml,,,,,,,,,,,,,
