IMEI : 
IMSI : 
Phone Number : 14254639725
Start Time : 2026-01-24 00:11:15
End Time : 2026-01-24 00:21:37
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1740933,47.5679800,2026-01-24 00:11:15.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1740933,47.5679800,2026-01-24 00:11:16.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1740933,47.5679800,2026-01-24 00:11:17.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1740933,47.5679800,2026-01-24 00:11:18.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1740933,47.5679800,2026-01-24 00:11:19.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1740933,47.5679800,2026-01-24 00:11:20.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1740933,47.5679800,2026-01-24 00:11:21.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1740933,47.5679800,2026-01-24 00:11:22.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1740933,47.5679800,2026-01-24 00:11:23.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1740933,47.5679800,2026-01-24 00:11:24.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1740933,47.5679800,2026-01-24 00:11:25.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1740933,47.5679800,2026-01-24 00:11:26.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1740933,47.5679800,2026-01-24 00:11:27.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1740933,47.5679800,2026-01-24 00:11:28.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1740933,47.5679800,2026-01-24 00:11:29.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1740933,47.5679800,2026-01-24 00:11:30.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1740933,47.5679800,2026-01-24 00:11:31.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1740933,47.5679800,2026-01-24 00:11:32.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1740933,47.5679800,2026-01-24 00:11:33.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1740933,47.5679800,2026-01-24 00:11:34.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1740933,47.5679800,2026-01-24 00:11:35.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1740933,47.5679800,2026-01-24 00:11:36.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1740933,47.5679800,2026-01-24 00:11:37.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1740933,47.5679800,2026-01-24 00:11:38.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1740933,47.5679800,2026-01-24 00:11:39.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1740933,47.5679800,2026-01-24 00:11:40.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1740933,47.5679800,2026-01-24 00:11:41.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,,,,,,
28,1,,,-122.1740933,47.5679800,2026-01-24 00:11:42.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,188.625,,,,,
29,1,,,-122.1740933,47.5679800,2026-01-24 00:11:43.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,189.905,,,,,
30,1,,,-122.1740933,47.5679800,2026-01-24 00:11:44.000,_20260123_161108_CH02_TMO_5GAUTO_UDP DL 200M FOR 10S_L1_SEA.dml,,,,,,,,185.131,,,,,
