IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-24 00:39:29
End Time : 2026-01-24 01:04:42
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1740983,47.5679183,2026-01-24 00:39:29.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1740983,47.5679183,2026-01-24 00:39:30.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1740983,47.5679183,2026-01-24 00:39:31.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1740983,47.5679183,2026-01-24 00:39:32.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1740983,47.5679183,2026-01-24 00:39:33.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1740983,47.5679183,2026-01-24 00:39:34.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1740983,47.5679183,2026-01-24 00:39:35.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1740983,47.5679183,2026-01-24 00:39:36.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1741517,47.5679267,2026-01-24 00:39:37.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1741633,47.5679233,2026-01-24 00:39:38.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1741750,47.5679233,2026-01-24 00:39:39.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1741833,47.5679233,2026-01-24 00:39:40.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1741850,47.5679250,2026-01-24 00:39:41.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1741850,47.5679250,2026-01-24 00:39:41.482,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,Download Start Request,,,,,,
15,1,,,-122.1741883,47.5679283,2026-01-24 00:39:42.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1741883,47.5679283,2026-01-24 00:39:42.468,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,Download File Size Retrieved,,,,,,
17,1,,,-122.1741883,47.5679283,2026-01-24 00:39:42.468,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,Download Started,,,,,,
18,1,,,-122.1741883,47.5679283,2026-01-24 00:39:43.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1741883,47.5679283,2026-01-24 00:39:44.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1741883,47.5679283,2026-01-24 00:39:45.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1741883,47.5679283,2026-01-24 00:39:46.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,615.860,,,,,
22,1,,,-122.1741833,47.5679517,2026-01-24 00:39:47.000,_20260123_163926_CH01_TMO_5GAUTO_MS HTTP 30S_L1_SEA.dml,,,,,,,,665.875,,,,,
