IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-25 23:01:17
End Time : 2026-01-25 23:46:55
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,,,2026-01-25 23:01:17.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1740833,47.5679150,2026-01-25 23:01:18.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1740833,47.5679150,2026-01-25 23:01:19.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1740833,47.5679150,2026-01-25 23:01:20.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1740833,47.5679150,2026-01-25 23:01:21.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1740833,47.5679150,2026-01-25 23:01:22.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1740833,47.5679150,2026-01-25 23:01:23.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1740833,47.5679150,2026-01-25 23:01:24.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1740833,47.5679150,2026-01-25 23:01:25.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1740833,47.5679150,2026-01-25 23:01:26.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1740833,47.5679150,2026-01-25 23:01:27.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1740833,47.5679150,2026-01-25 23:01:28.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1740833,47.5679150,2026-01-25 23:01:29.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1740833,47.5679150,2026-01-25 23:01:30.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1740833,47.5679150,2026-01-25 23:01:31.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1740833,47.5679150,2026-01-25 23:01:32.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1740833,47.5679150,2026-01-25 23:01:33.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1740833,47.5679150,2026-01-25 23:01:34.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1740833,47.5679150,2026-01-25 23:01:35.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1740833,47.5679150,2026-01-25 23:01:36.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1740833,47.5679150,2026-01-25 23:01:37.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1740833,47.5679150,2026-01-25 23:01:38.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1740833,47.5679150,2026-01-25 23:01:39.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1740833,47.5679150,2026-01-25 23:01:40.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1740833,47.5679150,2026-01-25 23:01:41.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1740833,47.5679150,2026-01-25 23:01:42.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1740833,47.5679150,2026-01-25 23:01:43.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
28,1,,,-122.1740833,47.5679150,2026-01-25 23:01:44.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
29,1,,,-122.1740833,47.5679150,2026-01-25 23:01:45.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
30,1,,,-122.1740833,47.5679150,2026-01-25 23:01:46.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
31,1,,,-122.1740833,47.5679150,2026-01-25 23:01:47.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
32,1,,,-122.1740833,47.5679150,2026-01-25 23:01:48.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
33,1,,,-122.1740833,47.5679150,2026-01-25 23:01:49.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
34,1,,,-122.1740833,47.5679150,2026-01-25 23:01:50.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
35,1,,,-122.1740833,47.5679150,2026-01-25 23:01:51.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
36,1,,,-122.1740833,47.5679150,2026-01-25 23:01:52.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
37,1,,,-122.1740833,47.5679150,2026-01-25 23:01:53.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
38,1,,,-122.1740833,47.5679150,2026-01-25 23:01:54.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
39,1,,,-122.1740833,47.5679150,2026-01-25 23:01:55.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
40,1,,,-122.1740833,47.5679150,2026-01-25 23:01:56.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
41,1,,,-122.1740833,47.5679150,2026-01-25 23:01:57.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
42,1,,,-122.1740833,47.5679150,2026-01-25 23:01:58.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
43,1,,,-122.1740833,47.5679150,2026-01-25 23:01:59.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
44,1,,,-122.1740833,47.5679150,2026-01-25 23:02:00.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
45,1,,,-122.1740833,47.5679150,2026-01-25 23:02:01.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
46,1,,,-122.1740833,47.5679150,2026-01-25 23:02:02.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
47,1,,,-122.1740833,47.5679150,2026-01-25 23:02:03.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
48,1,,,-122.1740833,47.5679150,2026-01-25 23:02:04.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
49,1,,,-122.1740833,47.5679150,2026-01-25 23:02:05.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
50,1,,,-122.1740833,47.5679150,2026-01-25 23:02:06.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
51,1,,,-122.1740833,47.5679150,2026-01-25 23:02:07.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
52,1,,,-122.1740833,47.5679150,2026-01-25 23:02:08.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
53,1,,,-122.1740833,47.5679150,2026-01-25 23:02:09.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
54,1,,,-122.1740833,47.5679150,2026-01-25 23:02:10.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
55,1,,,-122.1740833,47.5679150,2026-01-25 23:02:11.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
56,1,,,-122.1740833,47.5679150,2026-01-25 23:02:12.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
57,1,,,-122.1740833,47.5679150,2026-01-25 23:02:13.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
58,1,,,-122.1740833,47.5679150,2026-01-25 23:02:14.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
59,1,,,-122.1740833,47.5679150,2026-01-25 23:02:15.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
60,1,,,-122.1740833,47.5679150,2026-01-25 23:02:16.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
61,1,,,-122.1740833,47.5679150,2026-01-25 23:02:17.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
62,1,,,-122.1740833,47.5679150,2026-01-25 23:02:18.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
63,1,,,-122.1740833,47.5679150,2026-01-25 23:02:19.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
64,1,,,-122.1740833,47.5679150,2026-01-25 23:02:20.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
65,1,,,-122.1740833,47.5679150,2026-01-25 23:02:21.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
66,1,,,-122.1740833,47.5679150,2026-01-25 23:02:22.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
67,1,,,-122.1740833,47.5679150,2026-01-25 23:02:23.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
68,1,,,-122.1740833,47.5679150,2026-01-25 23:02:24.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
69,1,,,-122.1740833,47.5679150,2026-01-25 23:02:25.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
70,1,,,-122.1740833,47.5679150,2026-01-25 23:02:27.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
71,1,,,-122.1740833,47.5679150,2026-01-25 23:02:28.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
72,1,,,-122.1740833,47.5679150,2026-01-25 23:02:30.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
73,1,,,-122.1740833,47.5679150,2026-01-25 23:02:31.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
74,1,,,-122.1740833,47.5679150,2026-01-25 23:02:32.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
75,1,,,-122.1740833,47.5679150,2026-01-25 23:02:33.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
76,1,,,-122.1740833,47.5679150,2026-01-25 23:02:34.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
77,1,,,-122.1740833,47.5679150,2026-01-25 23:02:35.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
78,1,,,-122.1740833,47.5679150,2026-01-25 23:02:36.000,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,,,,,,,
79,1,,,-122.1740833,47.5679150,2026-01-25 23:02:36.510,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,Download Start Request,,,,,,
80,1,,,-122.1740833,47.5679150,2026-01-25 23:02:36.900,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,Download File Size Retrieved,,,,,,
81,1,,,-122.1740833,47.5679150,2026-01-25 23:02:36.900,_20260125_150114_CH02_TMO_5GAUTO_SS HTTP DL 60S_L1_SEA.dml,,,,,,,Download Started,,,,,,
