IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-26 00:20:08
End Time : 2026-01-26 00:27:07
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1767883,47.5704833,2026-01-26 00:20:08.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1767883,47.5704833,2026-01-26 00:20:09.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1767883,47.5704833,2026-01-26 00:20:10.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1767883,47.5704833,2026-01-26 00:20:11.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1767883,47.5704833,2026-01-26 00:20:12.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1767883,47.5704833,2026-01-26 00:20:13.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1767883,47.5704833,2026-01-26 00:20:14.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1767883,47.5704833,2026-01-26 00:20:15.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1767883,47.5704833,2026-01-26 00:20:16.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1767883,47.5704833,2026-01-26 00:20:17.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1767883,47.5704833,2026-01-26 00:20:18.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1767883,47.5704833,2026-01-26 00:20:19.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1767883,47.5704833,2026-01-26 00:20:20.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1767883,47.5704833,2026-01-26 00:20:21.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1767883,47.5704833,2026-01-26 00:20:22.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1767883,47.5704833,2026-01-26 00:20:23.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1767883,47.5704833,2026-01-26 00:20:24.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1767883,47.5704833,2026-01-26 00:20:25.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1767883,47.5704833,2026-01-26 00:20:26.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1767883,47.5704833,2026-01-26 00:20:27.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1767883,47.5704833,2026-01-26 00:20:28.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1767883,47.5704833,2026-01-26 00:20:29.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1767883,47.5704833,2026-01-26 00:20:30.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1767883,47.5704833,2026-01-26 00:20:31.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1767883,47.5704833,2026-01-26 00:20:32.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1767883,47.5704833,2026-01-26 00:20:33.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1767883,47.5704833,2026-01-26 00:20:34.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
28,1,,,-122.1767883,47.5704833,2026-01-26 00:20:35.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
29,1,,,-122.1767883,47.5704833,2026-01-26 00:20:36.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
30,1,,,-122.1767883,47.5704833,2026-01-26 00:20:37.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
31,1,,,-122.1767883,47.5704833,2026-01-26 00:20:38.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
32,1,,,-122.1767883,47.5704833,2026-01-26 00:20:39.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
33,1,,,-122.1767883,47.5704833,2026-01-26 00:20:40.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
34,1,,,-122.1767883,47.5704833,2026-01-26 00:20:41.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
35,1,,,-122.1767883,47.5704833,2026-01-26 00:20:42.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
36,1,,,-122.1767883,47.5704833,2026-01-26 00:20:43.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
37,1,,,-122.1767883,47.5704833,2026-01-26 00:20:44.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
38,1,,,-122.1767883,47.5704833,2026-01-26 00:20:45.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
39,1,,,-122.1767883,47.5704833,2026-01-26 00:20:46.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
40,1,,,-122.1767883,47.5704833,2026-01-26 00:20:47.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
41,1,,,-122.1767883,47.5704833,2026-01-26 00:20:48.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
42,1,,,-122.1767883,47.5704833,2026-01-26 00:20:49.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
43,1,,,-122.1767883,47.5704833,2026-01-26 00:20:50.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
44,1,,,-122.1767883,47.5704833,2026-01-26 00:20:51.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
45,1,,,-122.1767883,47.5704833,2026-01-26 00:20:52.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
46,1,,,-122.1767883,47.5704833,2026-01-26 00:20:53.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
47,1,,,-122.1767883,47.5704833,2026-01-26 00:20:54.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
48,1,,,-122.1767883,47.5704833,2026-01-26 00:20:55.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
49,1,,,-122.1767883,47.5704833,2026-01-26 00:20:56.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
50,1,,,-122.1767883,47.5704833,2026-01-26 00:20:57.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
51,1,,,-122.1768467,47.5704700,2026-01-26 00:20:58.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
52,1,,,-122.1768433,47.5704633,2026-01-26 00:20:59.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
53,1,,,-122.1768400,47.5704617,2026-01-26 00:21:00.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
54,1,,,-122.1768417,47.5704633,2026-01-26 00:21:01.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
55,1,,,-122.1768367,47.5704600,2026-01-26 00:21:02.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
56,1,,,-122.1768367,47.5704600,2026-01-26 00:21:03.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
57,1,,,-122.1768367,47.5704600,2026-01-26 00:21:04.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
58,1,,,-122.1768367,47.5704600,2026-01-26 00:21:05.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
59,1,,,-122.1768367,47.5704600,2026-01-26 00:21:06.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
60,1,,,-122.1768367,47.5704600,2026-01-26 00:21:07.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
61,1,,,-122.1768367,47.5704600,2026-01-26 00:21:08.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
62,1,,,-122.1768367,47.5704600,2026-01-26 00:21:09.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
63,1,,,-122.1768367,47.5704600,2026-01-26 00:21:10.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
64,1,,,-122.1768367,47.5704600,2026-01-26 00:21:11.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
65,1,,,-122.1768367,47.5704600,2026-01-26 00:21:12.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
66,1,,,-122.1768367,47.5704600,2026-01-26 00:21:13.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
67,1,,,-122.1768367,47.5704600,2026-01-26 00:21:14.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
68,1,,,-122.1768367,47.5704600,2026-01-26 00:21:15.000,_20260125_162004_CH02_TMO_5GAUTO_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
