IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-26 21:54:21
End Time : 2026-01-26 22:19:38
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1770750,47.5703967,2026-01-26 21:54:21.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1770717,47.5703917,2026-01-26 21:54:22.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1770650,47.5703900,2026-01-26 21:54:23.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1770650,47.5703900,2026-01-26 21:54:24.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1770600,47.5703900,2026-01-26 21:54:25.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1770517,47.5703917,2026-01-26 21:54:26.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1770517,47.5703917,2026-01-26 21:54:27.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1770517,47.5703917,2026-01-26 21:54:28.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1770517,47.5703917,2026-01-26 21:54:29.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1770517,47.5703917,2026-01-26 21:54:30.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1770517,47.5703917,2026-01-26 21:54:31.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1770517,47.5703917,2026-01-26 21:54:32.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1770267,47.5703933,2026-01-26 21:54:33.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1770267,47.5703933,2026-01-26 21:54:33.081,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,Download Start Request,,,,,,
15,1,,,-122.1770250,47.5703950,2026-01-26 21:54:34.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1770250,47.5703950,2026-01-26 21:54:34.019,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,Download File Size Retrieved,,,,,,
17,1,,,-122.1770250,47.5703950,2026-01-26 21:54:34.019,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,Download Started,,,,,,
18,1,,,-122.1770233,47.5703917,2026-01-26 21:54:35.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1770183,47.5703883,2026-01-26 21:54:36.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1770167,47.5703900,2026-01-26 21:54:37.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,318.829,,,,,
21,1,,,-122.1770167,47.5703900,2026-01-26 21:54:38.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,365.741,,,,,
22,1,,,-122.1770167,47.5703900,2026-01-26 21:54:39.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,332.100,,,,,
23,1,,,-122.1770167,47.5703900,2026-01-26 21:54:40.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,328.221,,,,,
24,1,,,-122.1770167,47.5703900,2026-01-26 21:54:41.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,408.432,,,,,
25,1,,,-122.1770167,47.5703900,2026-01-26 21:54:42.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,344.226,,,,,
26,1,,,-122.1770167,47.5703900,2026-01-26 21:54:43.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,362.122,,,,,
27,1,,,-122.1770167,47.5703900,2026-01-26 21:54:44.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,409.853,,,,,
28,1,,,-122.1770167,47.5703900,2026-01-26 21:54:45.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,384.225,,,,,
29,1,,,-122.1770167,47.5703900,2026-01-26 21:54:46.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,465.510,,,,,
30,1,,,-122.1770167,47.5703900,2026-01-26 21:54:47.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,410.868,,,,,
31,1,,,-122.1770167,47.5703900,2026-01-26 21:54:48.000,_20260126_135415_CH01_TMO_5GAUTO_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,435.412,,,,,
