IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-26 22:33:14
End Time : 2026-01-26 22:43:55
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1770600,47.5704500,2026-01-26 22:33:14.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1770567,47.5704467,2026-01-26 22:33:15.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1770500,47.5704433,2026-01-26 22:33:16.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1770417,47.5704417,2026-01-26 22:33:17.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1770350,47.5704417,2026-01-26 22:33:18.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1770250,47.5704367,2026-01-26 22:33:19.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1770250,47.5704367,2026-01-26 22:33:20.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1770217,47.5704317,2026-01-26 22:33:21.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1770217,47.5704317,2026-01-26 22:33:22.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1770317,47.5704150,2026-01-26 22:33:23.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1770400,47.5704083,2026-01-26 22:33:24.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1770450,47.5704067,2026-01-26 22:33:25.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1770467,47.5704050,2026-01-26 22:33:26.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,303.965,,,,,
14,1,,,-122.1770450,47.5704050,2026-01-26 22:33:27.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,333.308,,,,,
15,1,,,-122.1770417,47.5704100,2026-01-26 22:33:28.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,340.576,,,,,
16,1,,,-122.1770417,47.5704100,2026-01-26 22:33:29.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,339.586,,,,,
17,1,,,-122.1770417,47.5704100,2026-01-26 22:33:30.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,324.517,,,,,
18,1,,,-122.1770417,47.5704100,2026-01-26 22:33:31.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,322.646,,,,,
19,1,,,-122.1770417,47.5704100,2026-01-26 22:33:32.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,307.425,,,,,
20,1,,,-122.1770417,47.5704100,2026-01-26 22:33:33.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,339.640,,,,,
21,1,,,-122.1770417,47.5704100,2026-01-26 22:33:34.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,330.262,,,,,
22,1,,,-122.1770417,47.5704100,2026-01-26 22:33:35.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,311.886,,,,,
23,1,,,-122.1770417,47.5704100,2026-01-26 22:33:36.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1769833,47.5703800,2026-01-26 22:33:37.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1769850,47.5703750,2026-01-26 22:33:38.000,_20260126_143305_CH01_TMO_5GAUTO_UDP DL 400M 10S_L2_SEA.dml,,,,,,,,,,,,,
