IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-26 22:53:48
End Time : 2026-01-26 23:12:56
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,,,2026-01-26 22:53:48.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1770183,47.5703867,2026-01-26 22:53:49.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1770183,47.5703867,2026-01-26 22:53:50.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1770183,47.5703867,2026-01-26 22:53:51.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1770183,47.5703867,2026-01-26 22:53:52.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1770183,47.5703867,2026-01-26 22:53:53.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1770183,47.5703867,2026-01-26 22:53:54.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1770183,47.5703867,2026-01-26 22:53:55.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1770183,47.5703867,2026-01-26 22:53:56.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1770183,47.5703867,2026-01-26 22:53:57.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1770183,47.5703867,2026-01-26 22:53:58.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1770183,47.5703867,2026-01-26 22:53:59.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1770183,47.5703867,2026-01-26 22:54:00.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1770183,47.5703867,2026-01-26 22:54:01.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1770183,47.5703867,2026-01-26 22:54:02.000,_20260126_145326_CH01_TMO_5GAUTO_Data Web-Kepler_L1_SEA.dml,,,,,,,,,,,,,
