IMEI : 
IMSI : 
Phone Number : 14254725501
Start Time : 2026-01-26 22:58:27
End Time : 2026-01-26 23:08:13
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
1,1,,,-121.9314830,47.5244923,2026-01-26 22:58:27.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
2,1,,,-121.9314830,47.5244923,2026-01-26 22:58:28.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
3,1,,,-121.9314830,47.5244923,2026-01-26 22:58:29.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
4,1,,,-121.9314830,47.5244923,2026-01-26 22:58:30.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
5,1,,,-121.9314830,47.5244923,2026-01-26 22:58:31.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
6,1,,,-121.9314830,47.5244923,2026-01-26 22:58:32.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
7,1,,,-121.9314830,47.5244923,2026-01-26 22:58:33.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
8,1,,,-121.9314830,47.5244923,2026-01-26 22:58:34.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
9,1,,,-121.9314830,47.5244923,2026-01-26 22:58:35.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
10,1,,,-121.9314830,47.5244923,2026-01-26 22:58:36.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
11,1,,,-121.9314830,47.5244923,2026-01-26 22:58:37.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
12,1,,,-121.9314830,47.5244923,2026-01-26 22:58:38.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,,,,,,25,594,,,
13,1,,,-121.9314830,47.5244923,2026-01-26 22:58:39.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
14,1,,,-121.9314830,47.5244923,2026-01-26 22:58:40.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
15,1,,,-121.9314830,47.5244923,2026-01-26 22:58:41.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
16,1,,,-121.9314830,47.5244923,2026-01-26 22:58:42.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
17,1,,,-121.9314830,47.5244923,2026-01-26 22:58:43.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
18,1,,,-121.9314830,47.5244923,2026-01-26 22:58:44.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
19,1,,,-121.9314830,47.5244923,2026-01-26 22:58:45.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
20,1,,,-121.9314830,47.5244923,2026-01-26 22:58:46.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
21,1,,,-121.9314830,47.5244923,2026-01-26 22:58:47.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
22,1,,,-121.9314830,47.5244923,2026-01-26 22:58:48.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
23,1,,,-121.9314830,47.5244923,2026-01-26 22:58:49.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
24,1,,,-121.9314830,47.5244923,2026-01-26 22:58:50.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
25,1,,,-121.9314830,47.5244923,2026-01-26 22:58:51.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
26,1,,,-121.9314830,47.5244923,2026-01-26 22:58:52.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
27,1,,,-121.9314830,47.5244923,2026-01-26 22:58:53.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
28,1,,,-121.9314830,47.5244923,2026-01-26 22:58:54.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
29,1,,,-121.9314830,47.5244923,2026-01-26 22:58:55.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
30,1,,,-121.9314830,47.5244923,2026-01-26 22:58:56.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
31,1,,,-121.9314830,47.5244923,2026-01-26 22:58:57.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
32,1,,,-121.9314830,47.5244923,2026-01-26 22:58:58.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
33,1,,,-121.9314830,47.5244923,2026-01-26 22:58:59.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
34,1,,,-121.9314830,47.5244923,2026-01-26 22:59:00.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
35,1,,,-121.9314830,47.5244923,2026-01-26 22:59:01.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
36,1,,,-121.9314830,47.5244923,2026-01-26 22:59:02.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
37,1,,,-121.9314830,47.5244923,2026-01-26 22:59:03.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
38,1,,,-121.9314830,47.5244923,2026-01-26 22:59:04.000,_20260126_145823_CH02_TMO_5GNR_WFC_REF_TC-170-R4.dml,NR SA,,,,,25,594,,,
