IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 00:23:59
End Time : 2026-01-27 00:48:35
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1769583,47.5703283,2026-01-27 00:23:59.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1769583,47.5703283,2026-01-27 00:24:00.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1769583,47.5703283,2026-01-27 00:24:01.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1769583,47.5703283,2026-01-27 00:24:02.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1769583,47.5703283,2026-01-27 00:24:03.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1769583,47.5703283,2026-01-27 00:24:04.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1769583,47.5703283,2026-01-27 00:24:05.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1769583,47.5703283,2026-01-27 00:24:06.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1769583,47.5703283,2026-01-27 00:24:07.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1769583,47.5703283,2026-01-27 00:24:08.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1769583,47.5703283,2026-01-27 00:24:09.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1769583,47.5703283,2026-01-27 00:24:10.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1769583,47.5703283,2026-01-27 00:24:11.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1769583,47.5703283,2026-01-27 00:24:12.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1769583,47.5703283,2026-01-27 00:24:13.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1769583,47.5703283,2026-01-27 00:24:14.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1769583,47.5703283,2026-01-27 00:24:15.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1769583,47.5703283,2026-01-27 00:24:16.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1769583,47.5703283,2026-01-27 00:24:17.000,_20260126_162355_CH02_TMO_5GMHS_MS HTTP DL 30S_L2_SEA.dml,,,,,,,,,,,,,
