IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 00:56:06
End Time : 2026-01-27 01:06:27
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1770167,47.5703867,2026-01-27 00:56:06.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1770167,47.5703867,2026-01-27 00:56:07.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1770167,47.5703867,2026-01-27 00:56:08.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1770167,47.5703867,2026-01-27 00:56:09.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1770167,47.5703867,2026-01-27 00:56:10.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1770167,47.5703867,2026-01-27 00:56:11.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1770167,47.5703867,2026-01-27 00:56:12.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1770167,47.5703867,2026-01-27 00:56:13.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1770167,47.5703867,2026-01-27 00:56:14.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1770167,47.5703867,2026-01-27 00:56:15.000,_20260126_165603_CH02_TMO_5GMHS_UDP DL 30M 10S_L2_SEA.dml,,,,,,,,,,,,,
