IMEI : 
IMSI : 
Phone Number : 14254639966
Start Time : 2026-01-27 02:09:53
End Time : 2026-01-27 02:13:40
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1754900,47.5705267,2026-01-27 02:09:53.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1754900,47.5705267,2026-01-27 02:09:54.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1754900,47.5705267,2026-01-27 02:09:56.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1754900,47.5705267,2026-01-27 02:09:57.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1754900,47.5705267,2026-01-27 02:09:58.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1754900,47.5705267,2026-01-27 02:09:59.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1754900,47.5705267,2026-01-27 02:10:01.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1754900,47.5705267,2026-01-27 02:10:02.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1754900,47.5705267,2026-01-27 02:10:03.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1754900,47.5705267,2026-01-27 02:10:04.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1754900,47.5705267,2026-01-27 02:10:05.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1754900,47.5705267,2026-01-27 02:10:07.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1754900,47.5705267,2026-01-27 02:10:08.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1754900,47.5705267,2026-01-27 02:10:09.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1754900,47.5705267,2026-01-27 02:10:12.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1754900,47.5705267,2026-01-27 02:10:13.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1754900,47.5705267,2026-01-27 02:10:14.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1754900,47.5705267,2026-01-27 02:10:15.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1754900,47.5705267,2026-01-27 02:10:17.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1754900,47.5705267,2026-01-27 02:10:18.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1754900,47.5705267,2026-01-27 02:10:19.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1754900,47.5705267,2026-01-27 02:10:20.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1754900,47.5705267,2026-01-27 02:10:22.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1754900,47.5705267,2026-01-27 02:10:23.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1754900,47.5705267,2026-01-27 02:10:24.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1754900,47.5705267,2026-01-27 02:10:25.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1754900,47.5705267,2026-01-27 02:10:27.000,_20260126_180948_CH01_TMO_5GMHS_UDP UL 10M 10S_L2_SEA.dml,,,,,,,,,,,,,
