IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 02:41:46
End Time : 2026-01-27 02:45:49
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,,,2026-01-27 02:41:46.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1754717,47.5705317,2026-01-27 02:41:47.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1754967,47.5705000,2026-01-27 02:41:48.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1754967,47.5705017,2026-01-27 02:41:49.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1754950,47.5705033,2026-01-27 02:41:50.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1754883,47.5705067,2026-01-27 02:41:51.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1754883,47.5705067,2026-01-27 02:41:52.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1754883,47.5705067,2026-01-27 02:41:53.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1754883,47.5705067,2026-01-27 02:41:54.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1754883,47.5705067,2026-01-27 02:41:55.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1754883,47.5705067,2026-01-27 02:41:56.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1754883,47.5705067,2026-01-27 02:41:57.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1754883,47.5705067,2026-01-27 02:41:58.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1754883,47.5705067,2026-01-27 02:41:59.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1754883,47.5705067,2026-01-27 02:42:00.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1754883,47.5705067,2026-01-27 02:42:01.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1754883,47.5705067,2026-01-27 02:42:02.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1754883,47.5705067,2026-01-27 02:42:03.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1754883,47.5705067,2026-01-27 02:42:04.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
20,1,,,-122.1754883,47.5705067,2026-01-27 02:42:05.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
21,1,,,-122.1754883,47.5705067,2026-01-27 02:42:06.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
22,1,,,-122.1754883,47.5705067,2026-01-27 02:42:07.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
23,1,,,-122.1754883,47.5705067,2026-01-27 02:42:08.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
24,1,,,-122.1754883,47.5705067,2026-01-27 02:42:09.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
25,1,,,-122.1754883,47.5705067,2026-01-27 02:42:10.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
26,1,,,-122.1754883,47.5705067,2026-01-27 02:42:11.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
27,1,,,-122.1754883,47.5705067,2026-01-27 02:42:12.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
28,1,,,-122.1754883,47.5705067,2026-01-27 02:42:13.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
29,1,,,-122.1754883,47.5705067,2026-01-27 02:42:14.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
30,1,,,-122.1754883,47.5705067,2026-01-27 02:42:15.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
31,1,,,-122.1755150,47.5705267,2026-01-27 02:42:16.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
32,1,,,-122.1755167,47.5705283,2026-01-27 02:42:17.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
33,1,,,-122.1755150,47.5705300,2026-01-27 02:42:18.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
34,1,,,-122.1755133,47.5705350,2026-01-27 02:42:19.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
35,1,,,-122.1755133,47.5705350,2026-01-27 02:42:20.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
36,1,,,-122.1755133,47.5705350,2026-01-27 02:42:21.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
37,1,,,-122.1755133,47.5705350,2026-01-27 02:42:22.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
38,1,,,-122.1755133,47.5705350,2026-01-27 02:42:23.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
39,1,,,-122.1755133,47.5705350,2026-01-27 02:42:24.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
40,1,,,-122.1755133,47.5705350,2026-01-27 02:42:25.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
41,1,,,-122.1755133,47.5705350,2026-01-27 02:42:26.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
42,1,,,-122.1755133,47.5705350,2026-01-27 02:42:27.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
43,1,,,-122.1755133,47.5705350,2026-01-27 02:42:28.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
44,1,,,-122.1755133,47.5705350,2026-01-27 02:42:29.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
45,1,,,-122.1755133,47.5705350,2026-01-27 02:42:30.000,_20260126_184026_CH02_TMO_5GA_app dl 30m_L2_SEA.dml,,,,,,,,,,,,,
