Device,CH1,CH2
DIR,   DL    UL   ,   DL    UL   
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,                  
,                  ,4.3
,                  ,  4.20  4.28
,  4.15  4.31,  4.24  4.31
,  4.32  4.32,  4.39  4.28
,  4.24  4.37,  4.30  4.22
,  1.07  4.07,  4.41  4.24
,  4.28  2.28,  4.35  4.31
,  4.22  4.41,  4.38  4.36
,  3.36  4.30,  1.08  1.96
,  1.44  1.16,  1.73  1.96
,  4.12  4.40,  1.10  4.29
,  1.46  3.85,  1.38  4.30
,  4.36  4.08,  4.37  4.19
,  4.27  4.35,  4.33  4.18
,  4.18  4.33,  4.34  4.35
,  2.19  4.20,  4.26  4.28
,  4.21  4.35,  4.35  4.32
,  4.11  4.30,  4.36  4.32
,  3.16  4.21,  4.36  4.24
,  1.44  3.92,  4.25  4.32
,  4.19  4.21,  4.19  4.20
,  2.13  4.27,  4.31  4.34
,  4.28  4.36,  4.34  1.08
,  4.39  4.21,  4.36  1.08
,  3.33  1.50,  4.32  3.06
,  4.31  4.16,  4.34  4.24
,  4.33  4.41,  3.99  3.96
,  4.35  2.57,  4.23  4.27
,  4.01  4.18,  2.68  3.21
,  4.25  3.36,  4.40  4.32
,  4.38  4.23,  1.96  4.31
,  3.90  4.21,  4.33  4.29
,  4.28  4.30,  4.40  4.28
,  4.32  3.67,  4.27  4.33
,  4.31  4.38,  4.24  4.33
,  2.89  4.19,  4.33  4.35
,  4.24  3.94,  4.31  4.14
,  4.35  2.43,  4.24  4.19
,  4.36  4.38,  4.41  4.30
,  4.25  4.37,  4.27  4.30
,  4.14  4.33,  4.33  4.31
,                  ,4.28
,1.01,  3.98  1.12
,  1.11  0.00,  4.33  4.15
,  4.37  1.07,  4.21  4.17
,  4.32  4.28,  4.36  4.18
,  4.32  4.38,  4.25  4.39
,  4.18  4.29,  2.17  3.96
,  4.33  4.36,  4.16  4.25
,  4.33  4.37,  4.29  4.27
,  4.11  4.30,  4.27  4.33
,  1.09  4.28,  4.28  4.26
,  4.41  1.38,  4.12  4.29
,  4.39  4.25,  4.32  4.30
,  4.31  4.25,  4.24  4.28
,  4.35  4.42,  4.18  4.28
,  4.39  4.37,  4.37  4.24
,  4.29  4.33,  4.24  4.29
,4.28,                  
,  4.13  4.32,1.01
,  4.20  4.42,  4.30  0.00
,  2.99  4.21,  4.30  4.29
,  4.30  4.23,  4.31  4.14
,  4.29  4.30,  4.23  4.18
,  4.32  4.33,  4.29  1.07
,  4.03  4.22,  4.34  4.31
,  2.76  4.25,  4.29  4.29
,  4.30  4.33,  4.34  4.26
,  3.65  3.19,  4.31  4.33
,  2.37  4.41,  4.16  4.26
,  4.23  4.30,  4.37  4.34
,  4.30  4.27,  4.22  4.28
,  1.15  3.14,  4.29  4.27
,  4.29  4.06,  4.30  4.32
,  1.09  2.39,  4.33  4.34
,  1.07  4.27,  4.36  4.28
,  1.09  4.10,  4.27  4.35
,  2.03  2.17,  1.09  4.24
,  1.07  4.09,  4.30  4.30
,  4.29  4.09,  4.32  4.35
,  3.85  4.33,  4.32  4.08
,  4.22  3.99,  4.35  4.38
,  4.15  4.40,  4.23  4.43
,  4.02  4.05,  4.27  4.23
,  4.30  4.33,  4.26  4.25
,  4.35  4.26,  4.28  4.30
,  3.66  4.10,  4.28  4.07
,  4.15  4.36,  4.23  4.23
,  4.26  4.37,  4.36  4.30
,  4.29  3.64,  4.33  4.42
,  2.07  4.29,  4.25  4.32
,  1.95  4.18,  4.28  4.13
,  3.77  4.31,  4.23  4.35
,  4.25  4.26,  4.35  4.23
,  4.26  4.32,  4.40  4.19
,  1.05  2.18,  1.11  4.33
,  4.24  3.97,  4.28  4.05
,  4.28  3.30,  4.30  4.12
,  3.99  3.31,  4.37  4.24
,  4.28  4.34,  4.32  4.07
,  4.33  4.33,  4.20  4.27
,  4.34  4.05,  4.26  4.25
,  4.25  4.30,  4.34  4.19
,  4.29  4.24,  4.28  4.37
,  4.36  4.17,  4.32  4.12
,  4.29  4.34,  4.28  4.29
,  4.27  4.21,  4.28  1.34
,  4.04  4.29,  4.34  4.31
,  4.27  4.36,  4.30  4.22
,  4.36  4.32,  4.34  4.23
,  4.30  4.09,  4.31  4.18
,  4.31  4.30,  4.31  4.27
,  4.28  1.62,  4.29  4.36
,  4.34  4.38,  4.31  4.31
,  4.19  4.31,  4.31  4.29
,  4.27  4.32,  4.21  4.28
,  4.35  4.22,  4.36  4.34
