IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,,,2025-09-29 20:28:35.986,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,354877970011048,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,,,2025-09-29 20:28:35.986,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,354877970011048,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-122.3569183,47.1282917,2025-09-29 20:28:37.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-54.010000,,,Rank 2 (RI1),21.310000,,,,12.800000,,,,,,,,47.128292,-122.356898
4,1,,,-122.3569183,47.1282917,2025-09-29 20:28:38.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-52.970000,,,Rank 2 (RI1),22.100000,,,0.000000,12.300000,,,,,,,,47.128292,-122.356898
5,1,,,-122.3569183,47.1282917,2025-09-29 20:28:39.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-52.840000,,,Rank 2 (RI1),22.190000,,,0.000000,12.300000,,,,,,,,47.128292,-122.356898
6,1,,,-122.3569183,47.1282917,2025-09-29 20:28:40.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-53.090000,,,Rank 2 (RI1),22.450000,,,0.000000,13.200000,,,,,,,,47.128292,-122.356899
7,1,,,-122.3569183,47.1282917,2025-09-29 20:28:41.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-52.680000,,,Rank 2 (RI1),22.450000,,,0.000000,13.200000,,,,,,,,47.128292,-122.356899
8,1,,,-122.3569183,47.1282917,2025-09-29 20:28:42.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-54.730000,,,Rank 2 (RI1),21.710000,,,0.000000,13.000000,,,,,,,,47.128292,-122.356899
9,1,,,-122.3569183,47.1282917,2025-09-29 20:28:43.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-56.500000,-4.600000,2,Rank 2 (RI1),22.620000,0.000000,0.000000,0.000000,11.500000,,,,,,,,47.128292,-122.356899
10,1,,,-122.3569183,47.1282917,2025-09-29 20:28:44.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,,,,,,,,,,0.000000,,,,,,,,,47.128292,-122.356899
11,1,,,-122.3569183,47.1282917,2025-09-29 20:28:45.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-53.930000,,,,25.190000,,,0.000000,,,,,,,,,47.128292,-122.356899
12,1,,,-122.3569183,47.1282917,2025-09-29 20:28:46.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,,,,,,,,,,0.000000,,,,,,,,,47.128292,-122.356899
13,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.001,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,
14,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.001,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,
15,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.017,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,
16,1,,,-122.3569183,47.1282917,2025-09-29 20:28:47.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,,,,,,,,,,,0.000000,,,,,,,,,47.128292,-122.356899
17,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-52.890000,-14.200000,1,Rank 2 (RI1),23.000000,7.263704,7.903226,0.000000,9.000000,,,,,,,,47.128292,-122.356899
18,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.630,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,INVITE,,,,,
19,1,,,-122.3569183,47.1282917,2025-09-29 20:28:48.855,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,100 Trying,,,,
20,1,,,-122.3569183,47.1282917,2025-09-29 20:28:49.000,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128292,-122.356918,n71A,125290,587,-52.950000,1.900000,2,Rank 2 (RI1),22.260000,0.688939,21.761905,0.000000,13.000000,,,,,,,,47.128292,-122.356899
21,1,,,-122.3569183,47.1282917,2025-09-29 20:28:49.356,_20250929_132833_CH07_TMO_5G Auto_VoNR Coverage Test_DUT4 Mobile_5G Auto VoNR Coverage Test.dml,,,,,,,,,,,,,,,,,,,,,180 Ringing,,,,
