IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Mobile Info] IMEI,[General] Serving Network,[General] [GPS] Latitude,[General] [GPS] Longitude,[General] Band Classification (formal),[NR5G] [System] NR-ARFCN,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [Power] Tx power (PUSCH Actual),[NR5G] [PCC] [PDSCH] [MIMO] Num of Layer (Mode),[NR5G] [PCC] [Quality Report] RI (Rank Index) (Mode),[NR5G] [RF] SINR,[NR5G] [PCC] [PUSCH] [TB  RB] BLER,[NR5G] [PCC] [PUSCH] [Modulation] MCS (Avg),[General] [GPS] Accumulated Distance,[NR5G] [Quality Report] [CQI] WB CQI (Avg),[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Event] Voice Call Event,[Mobile Info] [Android] Latitude,[Mobile Info] [Android] Longitude
1,1,,,-122.3566850,47.1283233,2025-09-29 21:34:12.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-59.440000,,,Rank 1 (RI0),25.410000,,,0.000000,,,,,,,,,47.128324,-122.356660
2,1,,,-122.3566850,47.1283233,2025-09-29 21:34:13.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-60.340000,,,Rank 1 (RI0),24.550000,,,0.000000,,,,,,,,,47.128324,-122.356660
3,1,,,-122.3566850,47.1283233,2025-09-29 21:34:14.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-60.980000,11.800000,2,Rank 2 (RI1),23.940000,4.996766,16.285714,0.000000,13.200000,,,,,,,,47.128324,-122.356660
4,1,,,-122.3566850,47.1283233,2025-09-29 21:34:15.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-62.970000,18.000000,2,Rank 2 (RI1),23.070000,,23.000000,0.000000,13.000000,,,,,,,,47.128324,-122.356660
5,1,,,-122.3566850,47.1283233,2025-09-29 21:34:16.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-61.870000,,,Rank 1 (RI0),23.900000,,,0.000000,,,,,,,,,47.128324,-122.356660
6,1,,,-122.3566850,47.1283233,2025-09-29 21:34:17.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-60.820000,,,Rank 1 (RI0),23.920000,,,0.000000,,,,,,,,,47.128324,-122.356660
7,1,,,-122.3566850,47.1283233,2025-09-29 21:34:18.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-60.530000,,,Rank 1 (RI0),24.180000,,,0.000000,,,,,,,,,47.128323,-122.356660
8,1,,,-122.3566850,47.1283233,2025-09-29 21:34:19.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-60.240000,,,Rank 1 (RI0),24.490000,,,0.000000,,,,,,,,,47.128323,-122.356660
9,1,,,-122.3566850,47.1283233,2025-09-29 21:34:20.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-60.270000,17.000000,1,Rank 1 (RI0),24.780000,,0.000000,0.000000,11.000000,,,,,,,,47.128323,-122.356660
10,1,,,-122.3566850,47.1283233,2025-09-29 21:34:21.000,_20250929_143409_CH08_TMO_5G Auto_VoNR Coverage Test_REF4 Mobile_5G Auto VoNR Coverage Test.dml,,NR SA,47.128323,-122.356685,n71A,125290,587,-63.140000,,,,21.150000,,,0.000000,,,,,,,,,47.128323,-122.356660
