[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,,,,,25,181,,,
,-78.000000,170,,,,,,,
,-79.000000,170,,,,,,,
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-79.000000,170,,,,,,,
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-78.000000,170,,,,,,,
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-76.500000,170,,,,,,,
LTE (15 MHz),-77.500000,170,,,,,,,
LTE (15 MHz),-78.000000,170,,,,,,,
,,,,,,,,4.011513,0.333636
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-75.500000,170,,,,,,,
LTE (15 MHz),-76.500000,170,,,,,,,
LTE (15 MHz),-76.500000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE (15 MHz),-75.500000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE (15 MHz),-75.000000,170,,,,,,,
LTE (15 MHz),-76.500000,170,,,,,,,
LTE (15 MHz),-76.500000,170,,,,,,,
,,,,,,,,3.995823,0.315618
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-78.000000,170,,,,,,,
LTE (15 MHz),-77.000000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE (15 MHz),-77.500000,170,,,,,,,
LTE (15 MHz),-76.000000,170,,,,,,,
LTE 3CA,-75.000000,170,,,,,,,
LTE 3CA,-74.000000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.330000,170,,,,,,,
LTE 3CA,-74.330000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.670000,170,,,,,,,
LTE 3CA,-73.670000,170,,,,,,,
,,,,,,,,4.039598,0.307842
LTE 3CA,-74.170000,170,,,,,,,
LTE 3CA,-74.330000,170,,,,,,,
LTE 3CA,-74.170000,170,,,,,,,
LTE 3CA,-74.330000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.170000,170,,,,,,,
LTE 3CA,-74.170000,170,,,,,,,
LTE 3CA,-75.000000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.170000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-74.830000,170,,,,,,,
,,,,,,,,4.021230,0.308215
LTE 3CA,-74.330000,170,,,,,,,
LTE 3CA,-74.500000,170,,,,,,,
LTE 3CA,-75.000000,170,,,,,,,
LTE 3CA,-74.670000,170,,,,,,,
LTE 3CA,-73.830000,170,,,,,,,
LTE 3CA,-73.330000,170,,,,,,,
LTE 3CA,-73.500000,170,,,,,,,
LTE 3CA,-73.170000,170,,,,,,,
LTE 3CA,-73.500000,170,,,,,,,
LTE 3CA,-74.330000,170,,,,,,,
LTE 3CA,-73.670000,170,,,,,,,
LTE 3CA,-72.830000,170,,,,,,,
LTE 3CA,-71.830000,32,,,,,,,
LTE (15 MHz),-71.170000,32,,,,,,,
,,,,,,,,4.106726,0.310285
LTE (15 MHz),-72.500000,32,,,,,,,
LTE 3CA,-73.500000,32,,,,,,,
LTE 3CA,-72.000000,32,,,,,,,
LTE 3CA,-71.500000,32,,,,,,,
LTE 3CA,-71.500000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-72.170000,32,,,,,,,
LTE 3CA,-72.060000,32,,,,,,,
LTE 3CA,-72.000000,32,,,,,,,
LTE 3CA,-72.000000,32,,,,,,,
LTE 3CA,-71.830000,32,,,,,,,
LTE 2CA,-71.830000,32,,,,,,,
,,,,,,,,4.005714,0.327318
LTE 2CA,-73.000000,32,,,,,,,
LTE 2CA,-72.170000,32,,,,,,,
LTE 2CA,-72.670000,32,,,,,,,
LTE 2CA,-72.670000,32,,,,,,,
LTE 2CA,-73.170000,32,,,,,,,
LTE 2CA,-73.170000,32,,,,,,,
LTE 2CA,-72.720000,32,,,,,,,
LTE 2CA,-72.830000,32,,,,,,,
LTE 2CA,-72.330000,32,,,,,,,
LTE 2CA,-73.000000,32,,,,,,,
LTE 2CA,-72.500000,32,,,,,,,
LTE 2CA,-73.000000,32,,,,,,,
LTE 2CA,-72.830000,32,,,,,,,
LTE 2CA,-73.670000,32,,,,,,,
,,,,,,,,4.018233,0.347543
LTE 2CA,-71.500000,32,,,,,,,
LTE 2CA,-71.830000,32,,,,,,,
LTE 2CA,-72.170000,32,,,,,,,
LTE 2CA,-70.060000,32,,,,,,,
LTE 2CA,-70.500000,32,,,,,,,
LTE 3CA,-73.250000,32,,,,,,,
LTE 3CA,-70.500000,32,,,,,,,
LTE 3CA,-72.170000,32,,,,,,,
LTE 3CA,-70.000000,32,,,,,,,
LTE 3CA,-71.110000,32,,,,,,,
LTE 3CA,-71.500000,32,,,,,,,
LTE 3CA,-72.330000,32,,,,,,,
LTE 3CA,-71.670000,32,,,,,,,
LTE 3CA,-69.830000,32,,,,,,,
,,,,,,,,4.001845,0.329865
LTE 3CA,-70.330000,32,,,,,,,
LTE 3CA,-69.670000,32,,,,,,,
LTE 3CA,-69.830000,32,,,,,,,
LTE 3CA,-69.670000,32,,,,,,,
LTE 3CA,-69.330000,32,,,,,,,
LTE 3CA,-69.670000,32,,,,,,,
LTE 3CA,-69.830000,32,,,,,,,
LTE 3CA,-68.830000,32,,,,,,,
LTE 3CA,-69.000000,32,,,,,,,
LTE 3CA,-70.000000,32,,,,,,,
LTE 3CA,-70.670000,32,,,,,,,
LTE 3CA,-70.170000,32,,,,,,,
LTE 3CA,-71.170000,32,,,,,,,
LTE 3CA,-71.220000,32,,,,,,,
,,,,,,,,4.059330,0.323225
LTE 3CA,-71.500000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-71.170000,32,,,,,,,
LTE 3CA,-71.170000,32,,,,,,,
LTE 3CA,-71.170000,32,,,,,,,
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
,,,,,,,,3.764404,0.347925
LTE 3CA,-71.170000,32,,,,,,,
LTE 3CA,-70.670000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-70.500000,32,,,,,,,
LTE 3CA,-71.110000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.670000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-71.330000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
LTE 3CA,-70.000000,32,,,,,,,
LTE 3CA,-70.000000,32,,,,,,,
LTE 3CA,-71.670000,32,,,,,,,
,,,,,,,,3.964159,0.344100
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
LTE 3CA,-70.330000,32,,,,,,,
LTE 3CA,-70.670000,32,,,,,,,
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-71.000000,32,,,,,,,
LTE 3CA,-71.170000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
LTE 3CA,-70.830000,32,,,,,,,
