[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,186,,,
,,,,,,,,,
,,,,,,,,,
,-78.000000,32,,,,186,,,
,-77.070000,32,,,,,,,
LTE (20 MHz),-77.720000,32,,,,,,,
LTE (20 MHz),-75.880000,32,,,,,,,
LTE (20 MHz),-75.360000,32,,,,,,,
LTE (20 MHz),-77.040000,32,,,,,,,
LTE (20 MHz),-78.230000,32,,,,,,,
LTE (20 MHz),-77.580000,32,,,,,,,
LTE (20 MHz),-80.260000,32,,,,,,,
LTE (20 MHz),-80.780000,32,,,,,,,
LTE (20 MHz),-79.310000,32,,,,,,,
LTE (20 MHz),-77.460000,32,,,,,,,
LTE (20 MHz),-76.980000,32,,,,,,,
LTE (20 MHz),-77.110000,32,,,,,,,
LTE (20 MHz),-77.600000,32,,,,,,,
LTE (20 MHz),-77.150000,32,,,,,,,
LTE 3CA,-76.710000,32,,,,,,,
LTE (20 MHz),-76.610000,32,,,,,,,
LTE 3CA,-76.720000,32,,,,,,,
,,,,,,,,3.915114,0.335709
LTE 3CA,-76.910000,32,,,,,,,
LTE 3CA,-75.840000,32,,,,,,,
LTE (20 MHz),-76.830000,32,,,,,,,
LTE (20 MHz),-80.010000,32,,,,,,,
LTE (20 MHz),-80.450000,32,,,,,,,
LTE (20 MHz),-79.380000,32,,,,,,,
LTE (20 MHz),-77.220000,32,,,,,,,
LTE (20 MHz),-76.540000,32,,,,,,,
LTE (20 MHz),-75.440000,32,,,,,,,
LTE 3CA,-75.730000,32,,,,,,,
LTE 3CA,-76.090000,32,,,,,,,
LTE 3CA,-76.280000,32,,,,,,,
LTE 3CA,-76.230000,32,,,,,,,
LTE 3CA,-76.220000,32,,,,,,,
,,,,,,,,3.928310,0.311908
LTE 3CA,-76.200000,32,,,,,,,
LTE 3CA,-76.210000,32,,,,,,,
LTE 3CA,-76.210000,32,,,,,,,
LTE 3CA,-76.560000,32,,,,,,,
LTE 3CA,-76.680000,32,,,,,,,
LTE 3CA,-76.460000,32,,,,,,,
LTE 3CA,-76.130000,32,,,,,,,
LTE 3CA,-76.310000,32,,,,,,,
LTE 3CA,-76.080000,32,,,,,,,
LTE 3CA,-76.370000,32,,,,,,,
LTE 3CA,-76.810000,32,,,,,,,
LTE 3CA,-77.090000,32,,,,,,,
LTE 3CA,-76.700000,32,,,,,,,
LTE 3CA,-76.450000,32,,,,,,,
,,,,,,,,3.931132,0.305599
LTE 3CA,-76.470000,32,,,,,,,
LTE 3CA,-76.470000,32,,,,,,,
LTE 3CA,-76.390000,32,,,,,,,
