[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,,,,
,,,,,,603,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,603,,,
,,,,,,,,,
,,,,,,603,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,603,,,
,,,,,,,,,
,,,,,41,603,,,
,,,,,41,603,,,
,-83.130000,92,,,,603,,,
LTE (20 MHz),-83.100000,92,,,,,,,
LTE (20 MHz),-82.470000,92,,,,,,,
LTE (20 MHz),-82.880000,92,,,,,,,
LTE (20 MHz),-82.640000,92,,,,,,,
LTE (20 MHz),-83.090000,92,,,,,,,
LTE (20 MHz),-83.560000,92,,,,,,,
LTE (20 MHz),-83.640000,92,,,,,,,
LTE (20 MHz),-82.720000,92,,,,,,,
LTE (20 MHz),-82.430000,92,,,,,,,
LTE (20 MHz),-83.250000,92,,,,,,,
LTE (20 MHz),-82.990000,92,,,,,,,
LTE (20 MHz),-82.860000,92,,,,,,,
LTE (20 MHz),-83.880000,92,,,,,,,
LTE (20 MHz),-83.080000,92,,,,,,,
LTE (20 MHz),-83.810000,92,,,,,,,
LTE (20 MHz),-83.280000,92,,,,,,,
LTE (20 MHz),-82.300000,92,,,,,,,
,,,,,,,,3.548595,0.572417
LTE (20 MHz),-81.750000,92,,,,,,,
LTE (20 MHz),-81.380000,92,,,,,,,
LTE (20 MHz),-81.030000,92,,,,,,,
LTE (20 MHz),-81.210000,92,,,,,,,
LTE (20 MHz),-80.780000,92,,,,,,,
LTE (20 MHz),-80.550000,92,,,,,,,
LTE (20 MHz),-80.720000,92,,,,,,,
LTE (20 MHz),-80.660000,92,,,,,,,
LTE (20 MHz),-80.760000,92,,,,,,,
LTE (20 MHz),-83.580000,92,,,,,,,
LTE 3CA,-84.240000,92,,,,,,,
LTE 3CA,-80.840000,92,,,,,,,
LTE 3CA,-80.070000,92,,,,,,,
LTE 3CA,-81.620000,92,,,,,,,
LTE 3CA,-80.940000,92,,,,,,,
LTE 3CA,-81.670000,92,,,,,,,
LTE 3CA,-81.350000,92,,,,,,,
LTE 3CA,-81.620000,92,,,,,,,
LTE 3CA,-81.800000,92,,,,,,,
LTE 3CA,-81.500000,92,,,,,,,
,,,,,,,,3.422326,0.567479
LTE 3CA,-81.060000,92,,,,,,,
LTE 3CA,-80.960000,92,,,,,,,
LTE 3CA,-81.450000,92,,,,,,,
LTE 3CA,-81.490000,92,,,,,,,
LTE 3CA,-82.420000,92,,,,,,,
LTE 3CA,-82.040000,92,,,,,,,
LTE 3CA,-81.980000,92,,,,,,,
LTE 3CA,-82.010000,92,,,,,,,
LTE 3CA,-82.380000,92,,,,,,,
LTE 3CA,-82.620000,92,,,,,,,
LTE 3CA,-82.840000,92,,,,,,,
LTE 3CA,-82.800000,92,,,,,,,
LTE 3CA,-82.770000,92,,,,,,,
LTE 3CA,-82.260000,92,,,,,,,
LTE 3CA,-82.390000,92,,,,,,,
LTE 3CA,-82.180000,92,,,,,,,
LTE 3CA,-81.990000,92,,,,,,,
LTE 3CA,-83.100000,92,,,,,,,
LTE 3CA,-82.650000,92,,,,,,,
LTE 3CA,-81.350000,92,,,,,,,
,,,,,,,,3.108320,0.567188
LTE 3CA,-80.750000,92,,,,,,,
LTE 3CA,-80.430000,92,,,,,,,
LTE 3CA,-80.600000,92,,,,,,,
LTE 3CA,-80.430000,92,,,,,,,
LTE 3CA,-80.150000,92,,,,,,,
LTE 3CA,-79.610000,92,,,,,,,
LTE 3CA,-79.000000,92,,,,,,,
LTE 3CA,-79.180000,92,,,,,,,
LTE 3CA,-80.760000,92,,,,,,,
LTE 3CA,-81.060000,92,,,,,,,
LTE 3CA,-81.660000,92,,,,,,,
LTE 3CA,-81.210000,92,,,,,,,
LTE 3CA,-81.120000,92,,,,,,,
LTE 3CA,-80.620000,92,,,,,,,
LTE 3CA,-81.520000,92,,,,,,,
LTE 3CA,-81.300000,92,,,,,,,
LTE 3CA,-81.400000,92,,,,,,,
LTE 3CA,-81.640000,92,,,,,,,
LTE 3CA,-81.830000,92,,,,,,,
LTE 3CA,-82.380000,92,,,,,,,
,,,,,,,,3.422812,0.594479
LTE 3CA,-82.770000,92,,,,,,,
LTE 3CA,-82.800000,92,,,,,,,
LTE 3CA,-82.650000,92,,,,,,,
LTE 3CA,-82.960000,92,,,,,,,
LTE 3CA,-82.520000,92,,,,,,,
LTE 3CA,-81.910000,92,,,,,,,
LTE 3CA,-81.760000,92,,,,,,,
LTE 3CA,-81.540000,92,,,,,,,
LTE 3CA,-80.650000,92,,,,,,,
LTE 3CA,-79.450000,92,,,,,,,
LTE 3CA,-79.880000,92,,,,,,,
LTE 3CA,-79.810000,92,,,,,,,
LTE 3CA,-79.360000,92,,,,,,,
LTE 3CA,-79.330000,92,,,,,,,
LTE 3CA,-79.790000,92,,,,,,,
LTE 3CA,-79.820000,92,,,,,,,
LTE 3CA,-79.090000,92,,,,,,,
LTE 3CA,-79.580000,92,,,,,,,
LTE 3CA,-79.910000,92,,,,,,,
LTE 3CA,-79.500000,92,,,,,,,
LTE 3CA,-78.760000,92,,,,,,,
,,,,,,,,3.504793,0.553292
LTE 3CA,-78.940000,92,,,,,,,
LTE 3CA,-79.560000,92,,,,,,,
LTE 3CA,-79.510000,92,,,,,,,
LTE 3CA,-79.860000,92,,,,,,,
LTE 3CA,-79.390000,92,,,,,,,
LTE 3CA,-79.020000,92,,,,,,,
LTE 3CA,-79.700000,92,,,,,,,
LTE 3CA,-79.110000,92,,,,,,,
LTE 3CA,-78.810000,92,,,,,,,
LTE 3CA,-78.770000,92,,,,,,,
LTE 3CA,-79.330000,92,,,,,,,
LTE 3CA,-79.500000,92,,,,,,,
LTE 3CA,-79.400000,92,,,,,,,
