[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,,,,
,,,,,,,,,
,,,,,41,607,,,
,,,,,41,607,,,
,,,,,,,,,
,,,,,41,607,,,
,,,,,41,607,,,
,,,,,41,607,,,
,,,,,41,607,,,
,,,,,,,,,
,,,,,41,607,,,
,,,,,41,607,,,
,,,,,41,607,,,
,-83,92,,,41,607,,,
LTE (20 MHz),-84,92,,,,,,,
LTE (20 MHz),-85,92,,,,,,,
LTE (20 MHz),-83.5,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-84,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-84,92,,,,,,,
LTE (20 MHz),-84.5,92,,,,,,,
LTE (20 MHz),-84.5,92,,,,,,,
LTE (20 MHz),-84.5,92,,,,,,,
LTE (20 MHz),-84,92,,,,,,,
LTE (20 MHz),-84,92,,,,,,,
,,,,,,,,3.989328,0.390917
LTE (20 MHz),-84,92,,,,,,,
LTE (20 MHz),-82.5,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-82.5,92,,,,,,,
LTE (20 MHz),-83.5,92,,,,,,,
LTE (20 MHz),-83,92,,,,,,,
LTE (20 MHz),-82,92,,,,,,,
LTE (20 MHz),-82,92,,,,,,,
LTE (20 MHz),-82.5,92,,,,,,,
LTE 3CA,-82,92,,,,,,,
LTE 3CA,-82.67,92,,,,,,,
LTE 3CA,-81.17,92,,,,,,,
LTE 3CA,-82.83,92,,,,,,,
LTE 3CA,-82.17,92,,,,,,,
LTE 3CA,-81.33,92,,,,,,,
LTE 3CA,-81.33,92,,,,,,,
LTE 3CA,-80.83,92,,,,,,,
LTE 3CA,-80.67,92,,,,,,,
,,,,,,,,3.874188,0.408354
LTE 3CA,-81,92,,,,,,,
LTE 3CA,-81,92,,,,,,,
LTE 3CA,-81,92,,,,,,,
LTE 3CA,-81,92,,,,,,,
LTE 3CA,-81.17,92,,,,,,,
LTE 3CA,-80.83,92,,,,,,,
LTE 2CA,-81,92,,,,,,,
LTE 2CA,-80.83,92,,,,,,,
LTE 2CA,-80.67,92,,,,,,,
LTE 2CA,-81.17,92,,,,,,,
LTE 2CA,-81.67,92,,,,,,,
LTE 2CA,-80.67,92,,,,,,,
LTE 2CA,-81.67,92,,,,,,,
LTE 2CA,-82,92,,,,,,,
LTE 2CA,-81.33,92,,,,,,,
