[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-107.711849,,,,,3.799707,0.329497
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,-107.952080,,,,,1.799497,0.774704
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-107.704532,,,,,3.677671,0.341236
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-106.526247,,,,,1.104923,1.322387
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-107.821301,,,,,3.775010,0.321793
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-107.687792,,,,,3.732814,0.494820
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
,,,-106.826387,,,,,3.723937,0.334885
NR SA,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
NR SA,,,,,25,614,,,
