[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,436,,,
,,,,,,,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
,,,-75.803904,18.395652,,,,3.743762,-0.539164
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
,,,-76.275678,16.418809,,,,3.719344,-0.543096
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,-78.275487,17.132906,,,,3.812976,-0.523745
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
,,,,,41,436,,,
NR SA,,,,,41,436,,,
NR SA,,,,,41,436,,,
