[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
,,,,,,,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,-74.452947,,,,,3.759735,0.341922
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
NR SA,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
,,,,,41,750,,,
NR SA,,,,,41,750,,,
