IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
1,1,,,-121.9331960,47.5260828,2025-12-10 23:22:49.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-121.9331960,47.5260828,2025-12-10 23:22:50.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-112.430000,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-121.9331960,47.5260828,2025-12-10 23:22:51.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-121.9331960,47.5260828,2025-12-10 23:22:52.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-111.930000,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-121.9331960,47.5260828,2025-12-10 23:22:53.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-111.290000,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-121.9331960,47.5260828,2025-12-10 23:22:54.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-113.760000,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-121.9331960,47.5260828,2025-12-10 23:22:55.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-118.670000,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-121.9331960,47.5260828,2025-12-10 23:22:56.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-121.9331960,47.5260828,2025-12-10 23:22:57.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-118.100000,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-121.9331960,47.5260828,2025-12-10 23:22:58.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-117.490000,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-121.9331960,47.5260828,2025-12-10 23:22:59.000,_20251210_152244_CH04_TMO_5GNR_WFC-MO_REF-1_TC151-1.dml,,594,-113.800000,,,,,,,,,,,,,,,,,,,,,,,
