IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
1,1,,,-121.9331925,47.5260691,2025-12-10 23:44:57.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-97.050000,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-121.9331925,47.5260691,2025-12-10 23:44:58.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-98.720000,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-121.9331925,47.5260691,2025-12-10 23:44:59.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-97.890000,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-121.9331925,47.5260691,2025-12-10 23:45:00.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-98.090000,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-121.9331925,47.5260691,2025-12-10 23:45:01.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-101.110000,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-121.9331925,47.5260691,2025-12-10 23:45:02.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-103.320000,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-121.9331925,47.5260691,2025-12-10 23:45:03.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-104.660000,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-121.9331925,47.5260691,2025-12-10 23:45:04.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-101.430000,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-121.9331925,47.5260691,2025-12-10 23:45:05.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-101.080000,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-121.9331925,47.5260691,2025-12-10 23:45:06.000,_20251210_154452_CH05_TMO_5GNR_VoNR-MT_DUT-2_TC150-1.dml,,594,-102.610000,,,,,,,,,,,,,,,,,,,,,,,
