IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
1,1,,,-121.9331916,47.5260734,2025-12-10 23:44:57.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-85.620000,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-121.9331916,47.5260734,2025-12-10 23:44:58.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-88.490000,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-121.9317146,47.5237386,2025-12-10 23:44:59.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-88.000000,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-121.9317146,47.5237386,2025-12-10 23:45:00.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-89.030000,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-121.9317146,47.5237386,2025-12-10 23:45:01.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-90.820000,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-121.9317146,47.5237386,2025-12-10 23:45:02.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-89.970000,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-121.9317146,47.5237386,2025-12-10 23:45:03.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-91.820000,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-121.9317146,47.5237386,2025-12-10 23:45:04.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-88.350000,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-121.9317146,47.5237386,2025-12-10 23:45:05.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-88.150000,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-121.9317146,47.5237386,2025-12-10 23:45:06.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-88.650000,,,,,,,,,,,,,,,,,,,,,,,
11,1,,,-121.9317146,47.5237386,2025-12-10 23:45:07.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,594,-92.160000,,,,,,,,,,,,,,,,,,,,,,,
