IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] [Misc] [Mobile] IMEI,[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Voice or Video Call] Result & Reason,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Real Service,[Call Test] Call Type,[Call Test] Call Result,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool)
1,1,,,-121.9331898,47.5260679,2025-12-11 22:54:36.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-95.090000,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,-121.9331898,47.5260679,2025-12-11 22:54:37.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-96.240000,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,-121.9331898,47.5260679,2025-12-11 22:54:38.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-94.420000,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,-121.9331898,47.5260679,2025-12-11 22:54:39.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-92.150000,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,-121.9331898,47.5260679,2025-12-11 22:54:40.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-91.780000,,,,,,,,,,,,,,,,,,,,,,,
6,1,,,-121.9331898,47.5260679,2025-12-11 22:54:41.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-92.720000,,,,,,,,,,,,,,,,,,,,,,,
7,1,,,-121.9331898,47.5260679,2025-12-11 22:54:42.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-97.450000,,,,,,,,,,,,,,,,,,,,,,,
8,1,,,-121.9331898,47.5260679,2025-12-11 22:54:43.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-96.140000,,,,,,,,,,,,,,,,,,,,,,,
9,1,,,-121.9331898,47.5260679,2025-12-11 22:54:44.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-101.590000,,,,,,,,,,,,,,,,,,,,,,,
10,1,,,-121.9331898,47.5260679,2025-12-11 22:54:45.000,_20251211_145431_CH03_TMO_5GNR_HW-MO_DUT_TC162-1.dml,,594,-99.530000,,,,,,,,,,,,,,,,,,,,,,,
