IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
1,1,,,-121.9331916,47.5260734,2025-12-10 23:44:57.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
2,1,,,-121.9331916,47.5260734,2025-12-10 23:44:58.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
3,1,,,-121.9317146,47.5237386,2025-12-10 23:44:59.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
4,1,,,-121.9317146,47.5237386,2025-12-10 23:45:00.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
5,1,,,-121.9317146,47.5237386,2025-12-10 23:45:01.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
6,1,,,-121.9317146,47.5237386,2025-12-10 23:45:02.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
7,1,,,-121.9317146,47.5237386,2025-12-10 23:45:03.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
8,1,,,-121.9317146,47.5237386,2025-12-10 23:45:04.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
9,1,,,-121.9317146,47.5237386,2025-12-10 23:45:05.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
10,1,,,-121.9317146,47.5237386,2025-12-10 23:45:06.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
11,1,,,-121.9317146,47.5237386,2025-12-10 23:45:07.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
12,1,,,-121.9317146,47.5237386,2025-12-10 23:45:08.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
13,1,,,-121.9317146,47.5237386,2025-12-10 23:45:09.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
14,1,,,-121.9317146,47.5237386,2025-12-10 23:45:10.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
15,1,,,-121.9317146,47.5237386,2025-12-10 23:45:11.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
16,1,,,-121.9317146,47.5237386,2025-12-10 23:45:12.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
17,1,,,-121.9317146,47.5237386,2025-12-10 23:45:13.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
18,1,,,-121.9317146,47.5237386,2025-12-10 23:45:14.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
19,1,,,-121.9317146,47.5237386,2025-12-10 23:45:15.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,,,25,594,,,
20,1,,,-121.9317146,47.5237386,2025-12-10 23:45:16.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
21,1,,,-121.9317146,47.5237386,2025-12-10 23:45:17.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
22,1,,,-121.9317146,47.5237386,2025-12-10 23:45:18.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
23,1,,,-121.9317146,47.5237386,2025-12-10 23:45:19.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
24,1,,,-121.9317146,47.5237386,2025-12-10 23:45:20.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
25,1,,,-121.9317146,47.5237386,2025-12-10 23:45:21.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
26,1,,,-121.9317146,47.5237386,2025-12-10 23:45:22.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
27,1,,,-121.9317146,47.5237386,2025-12-10 23:45:23.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
28,1,,,-121.9317146,47.5237386,2025-12-10 23:45:24.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
29,1,,,-121.9317146,47.5237386,2025-12-10 23:45:25.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
30,1,,,-121.9317146,47.5237386,2025-12-10 23:45:26.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
31,1,,,-121.9317146,47.5237386,2025-12-10 23:45:27.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
32,1,,,-121.9317146,47.5237386,2025-12-10 23:45:28.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
33,1,,,-121.9317146,47.5237386,2025-12-10 23:45:29.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
34,1,,,-121.9317146,47.5237386,2025-12-10 23:45:30.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
35,1,,,-121.9317146,47.5237386,2025-12-10 23:45:31.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
36,1,,,-121.9317146,47.5237386,2025-12-10 23:45:32.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
37,1,,,-121.9317146,47.5237386,2025-12-10 23:45:32.286,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,-87.614652,,,,,2.083051,0.360969
38,1,,,-121.9317146,47.5237386,2025-12-10 23:45:33.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
39,1,,,-121.9317146,47.5237386,2025-12-10 23:45:34.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
40,1,,,-121.9317146,47.5237386,2025-12-10 23:45:35.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
41,1,,,-121.9317146,47.5237386,2025-12-10 23:45:36.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
42,1,,,-121.9317146,47.5237386,2025-12-10 23:45:37.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
43,1,,,-121.9317146,47.5237386,2025-12-10 23:45:38.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
44,1,,,-121.9317146,47.5237386,2025-12-10 23:45:39.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
45,1,,,-121.9317146,47.5237386,2025-12-10 23:45:40.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
46,1,,,-121.9317146,47.5237386,2025-12-10 23:45:41.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
47,1,,,-121.9317146,47.5237386,2025-12-10 23:45:42.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
48,1,,,-121.9317146,47.5237386,2025-12-10 23:45:43.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
49,1,,,-121.9317146,47.5237386,2025-12-10 23:45:44.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
50,1,,,-121.9317146,47.5237386,2025-12-10 23:45:45.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
51,1,,,-121.9317146,47.5237386,2025-12-10 23:45:46.005,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,-94.052865,,,,,3.281462,0.339988
52,1,,,-121.9317146,47.5237386,2025-12-10 23:45:46.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
53,1,,,-121.9317146,47.5237386,2025-12-10 23:45:47.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
54,1,,,-121.9317146,47.5237386,2025-12-10 23:45:48.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
55,1,,,-121.9317146,47.5237386,2025-12-10 23:45:49.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
56,1,,,-121.9317146,47.5237386,2025-12-10 23:45:50.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
57,1,,,-121.9317146,47.5237386,2025-12-10 23:45:51.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
58,1,,,-121.9317146,47.5237386,2025-12-10 23:45:52.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
59,1,,,-121.9317146,47.5237386,2025-12-10 23:45:53.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
60,1,,,-121.9317146,47.5237386,2025-12-10 23:45:54.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
61,1,,,-121.9317146,47.5237386,2025-12-10 23:45:55.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
62,1,,,-121.9317146,47.5237386,2025-12-10 23:45:56.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
63,1,,,-121.9317146,47.5237386,2025-12-10 23:45:57.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
64,1,,,-121.9317146,47.5237386,2025-12-10 23:45:58.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
65,1,,,-121.9317146,47.5237386,2025-12-10 23:45:59.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
66,1,,,-121.9317146,47.5237386,2025-12-10 23:46:00.161,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,-89.494829,,,,,3.992080,0.358011
67,1,,,-121.9317146,47.5237386,2025-12-10 23:46:00.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
68,1,,,-121.9317146,47.5237386,2025-12-10 23:46:01.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
69,1,,,-121.9317146,47.5237386,2025-12-10 23:46:02.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
70,1,,,-121.9317146,47.5237386,2025-12-10 23:46:03.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
71,1,,,-121.9317146,47.5237386,2025-12-10 23:46:04.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
72,1,,,-121.9317146,47.5237386,2025-12-10 23:46:05.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
73,1,,,-121.9317146,47.5237386,2025-12-10 23:46:06.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
74,1,,,-121.9317146,47.5237386,2025-12-10 23:46:07.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
75,1,,,-121.9317146,47.5237386,2025-12-10 23:46:08.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
76,1,,,-121.9317146,47.5237386,2025-12-10 23:46:09.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
77,1,,,-121.9317146,47.5237386,2025-12-10 23:46:10.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
78,1,,,-121.9317146,47.5237386,2025-12-10 23:46:11.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
79,1,,,-121.9317146,47.5237386,2025-12-10 23:46:12.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
80,1,,,-121.9317146,47.5237386,2025-12-10 23:46:13.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
81,1,,,-121.9317146,47.5237386,2025-12-10 23:46:14.145,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,,,,-94.417996,,,,,4.016706,0.344351
82,1,,,-121.9317146,47.5237386,2025-12-10 23:46:14.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
83,1,,,-121.9317146,47.5237386,2025-12-10 23:46:15.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
84,1,,,-121.9317146,47.5237386,2025-12-10 23:46:16.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
85,1,,,-121.9317146,47.5237386,2025-12-10 23:46:17.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
86,1,,,-121.9317146,47.5237386,2025-12-10 23:46:18.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
87,1,,,-121.9317146,47.5237386,2025-12-10 23:46:19.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
88,1,,,-121.9317146,47.5237386,2025-12-10 23:46:20.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
89,1,,,-121.9317146,47.5237386,2025-12-10 23:46:21.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
90,1,,,-121.9317146,47.5237386,2025-12-10 23:46:22.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
91,1,,,-121.9317146,47.5237386,2025-12-10 23:46:23.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
92,1,,,-121.9317146,47.5237386,2025-12-10 23:46:24.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
93,1,,,-121.9317146,47.5237386,2025-12-10 23:46:25.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
94,1,,,-121.9317146,47.5237386,2025-12-10 23:46:26.000,_20251210_154452_CH06_TMO_5GNR_VoNR-MT_REF-2_TC150-1.dml,NR SA,,,,,25,594,,,
