IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Serving Network (In Traffic),[LTE] [L1] [RF] RSRP,[LTE] [L1] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G SINR,[NR5G] [System] Band,[NR5G] [RF] PCI,[Call Test] [Voice Quality] [UL MOS] MOS,[Call Test] [Voice Quality] [Per Rx Clip] MOS Value,[Call Test] [Voice Quality] [Per Rx Clip] Mouth to Ear Delay (Avg)
1,1,,,-121.9331898,47.5260679,2025-12-11 23:07:07.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
2,1,,,-121.9331898,47.5260679,2025-12-11 23:07:08.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
3,1,,,-121.9331898,47.5260679,2025-12-11 23:07:09.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,594,,,
4,1,,,-121.9331898,47.5260679,2025-12-11 23:07:10.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
5,1,,,-121.9331898,47.5260679,2025-12-11 23:07:11.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,594,,,
6,1,,,-121.9331898,47.5260679,2025-12-11 23:07:12.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
7,1,,,-121.9331898,47.5260679,2025-12-11 23:07:13.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
8,1,,,-121.9331898,47.5260679,2025-12-11 23:07:14.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,594,,,
9,1,,,-121.9331898,47.5260679,2025-12-11 23:07:15.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,594,,,
10,1,,,-121.9331898,47.5260679,2025-12-11 23:07:16.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
11,1,,,-121.9331898,47.5260679,2025-12-11 23:07:17.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,,,,
12,1,,,-121.9331898,47.5260679,2025-12-11 23:07:18.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,,594,,,
13,1,,,-121.9331898,47.5260679,2025-12-11 23:07:19.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,,,,,,25,594,,,
14,1,,,-121.9331898,47.5260679,2025-12-11 23:07:20.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
15,1,,,-121.9331898,47.5260679,2025-12-11 23:07:21.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
16,1,,,-121.9331898,47.5260679,2025-12-11 23:07:22.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
17,1,,,-121.9331898,47.5260679,2025-12-11 23:07:23.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
18,1,,,-121.9331898,47.5260679,2025-12-11 23:07:24.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
19,1,,,-121.9331898,47.5260679,2025-12-11 23:07:25.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
20,1,,,-121.9331898,47.5260679,2025-12-11 23:07:26.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
21,1,,,-121.9331898,47.5260679,2025-12-11 23:07:27.000,_20251211_150704_CH03_TMO_5GNR_HW-MO_DUT_TC165-1.dml,NR SA,,,,,25,594,,,
