IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
1,1,,,-121.9317146,47.5237386,2025-12-14 21:10:46.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-73.000000,2447,9,,,,NR (NR_SA)
2,1,,,-121.9317146,47.5237386,2025-12-14 21:10:47.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-73.000000,2447,9,,,,NR (NR_SA)
3,1,,,-121.9317146,47.5237386,2025-12-14 21:10:48.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-73.000000,2447,9,,,,NR (NR_SA)
4,1,,,-121.9317146,47.5237386,2025-12-14 21:10:49.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-73.000000,2447,9,,,,NR (NR_SA)
5,1,,,-121.9317146,47.5237386,2025-12-14 21:10:50.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,1,,,,NR (NR_SA)
6,1,,,-121.9317146,47.5237386,2025-12-14 21:10:51.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-71.000000,2447,1,,,,NR (NR_SA)
7,1,,,-121.9317146,47.5237386,2025-12-14 21:10:52.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-71.000000,2447,1,,,,NR (NR_SA)
8,1,,,-121.9317146,47.5237386,2025-12-14 21:10:53.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,1,,,,NR (NR_SA)
9,1,,,-121.9317146,47.5237386,2025-12-14 21:10:54.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-72.000000,2447,1,,,,NR (NR_SA)
10,1,,,-121.9317146,47.5237386,2025-12-14 21:10:55.068,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,,,,,,,,,,,,,
11,1,,,-121.9317146,47.5237386,2025-12-14 21:10:55.068,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,,,,,,,,,,,,,
12,1,,,-121.9317146,47.5237386,2025-12-14 21:10:55.084,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,,,,,,,,,,,,,
13,1,,,-121.9317146,47.5237386,2025-12-14 21:10:55.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,1,,,,NR (NR_SA)
14,1,,,-121.9317146,47.5237386,2025-12-14 21:10:56.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-74.000000,2447,9,,,,NR (NR_SA)
15,1,,,-121.9317146,47.5237386,2025-12-14 21:10:57.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-74.000000,2447,9,,,,NR (NR_SA)
16,1,,,-121.9317146,47.5237386,2025-12-14 21:10:57.564,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Setup Success,,,,,,,,,,,,,,,,,
17,1,,,-121.9317146,47.5237386,2025-12-14 21:10:58.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-74.000000,2447,9,,,,NR (NR_SA)
18,1,,,-121.9317146,47.5237386,2025-12-14 21:10:59.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,9,,,,NR (NR_SA)
19,1,,,-121.9317146,47.5237386,2025-12-14 21:11:00.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,9,,,,NR (NR_SA)
20,1,,,-121.9317146,47.5237386,2025-12-14 21:11:01.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,9,,,,NR (NR_SA)
21,1,,,-121.9317146,47.5237386,2025-12-14 21:11:02.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,9,,,,NR (NR_SA)
22,1,,,-121.9317146,47.5237386,2025-12-14 21:11:03.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,9,,,,NR (NR_SA)
23,1,,,-121.9317146,47.5237386,2025-12-14 21:11:04.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-71.000000,2447,9,,,,NR (NR_SA)
24,1,,,-121.9317146,47.5237386,2025-12-14 21:11:05.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
25,1,,,-121.9317146,47.5237386,2025-12-14 21:11:06.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
26,1,,,-121.9317146,47.5237386,2025-12-14 21:11:07.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
27,1,,,-121.9317146,47.5237386,2025-12-14 21:11:08.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
28,1,,,-121.9317146,47.5237386,2025-12-14 21:11:09.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
29,1,,,-121.9317146,47.5237386,2025-12-14 21:11:10.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
30,1,,,-121.9317146,47.5237386,2025-12-14 21:11:11.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
31,1,,,-121.9317146,47.5237386,2025-12-14 21:11:12.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
32,1,,,-121.9317146,47.5237386,2025-12-14 21:11:13.000,_20251214_131041_CH02_samsung_5GNR_HO_DUT-2_TC162.dml,,,,,,,,,,NR SA,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-72.000000,2447,9,,,,NR (NR_SA)
