Device,CH1,CH2
DIR,   DL    UL   ,   DL    UL   
Max,4.44  4.37,4.38  4.39
Avg,3.28  4.20,4.11  4.04
Min,1.02  3.67,2.34  1.49
11,4.28,4.29
10,  4.37  4.19,  4.30  4.35
9,  1.97  4.18,  4.33  4.36
8,  1.02  4.24,  2.34  1.49
7,  1.58  4.32,  4.29  4.27
6,  1.03  3.67,  4.10  4.29
5,  4.38  4.37,  4.38  4.32
4,  4.32  4.34,  4.21  4.39
3,  4.34  4.23,  4.31  4.33
2,  4.44  4.23,  4.33  4.24
1,  4.32  4.20,  4.28  4.38
,4.3,1.01
,  1.09  1.05,  1.01  1.05
,  1.37  1.09,  1.14  1.18
,  4.09  1.04,  1.12  1.06
,  4.00  1.05,  4.26  1.05
,  4.26  1.06,  1.36  4.47
,  4.33  1.07,  4.33  1.12
,  4.38  1.05,  4.33  1.09
,  3.89  1.06,  4.38  1.04
